available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
19,967.8,15.6,11.6,44,0.0
14,967.9,15.2,12.2,50,0.0
14,968.1,14.4,11.7,55,0.0
13,968.1,12.1,10.3,66,0.2
10,967.4,12.5,10.7,65,0.1
9,967.0,11.9,10.2,75,0.1
8,967.3,11.4,9.4,78,0.0
6,967.5,10.8,9.5,85,0.3
6,968.1,9.7,8.2,91,0.0
9,969.9,9.6,8.6,91,0.0
7,972.9,9.9,8.5,85,0.0
8,975.3,8.3,5.8,70,0.0
8,975.2,7.1,5.0,79,0.0
5,976.7,5.4,3.8,90,0.0
5,977.2,5.0,3.5,94,0.0
5,977.3,4.9,3.3,94,0.0
5,977.7,4.7,2.9,95,0.0
5,977.6,4.1,2.0,94,0.0
5,978.0,3.8,2.0,96,0.0
7,978.4,5.2,3.5,91,0.0
10,978.3,6.9,5.3,85,0.0
10,978.2,16.1,14.9,62,0.0
12,978.0,18.7,16.3,50,0.0
11,977.8,18.5,16.2,52,0.0
17,977.8,18.8,16.6,53,0.0
16,977.8,19.0,16.9,53,0.0
16,977.5,18.2,16.3,56,0.0
18,977.6,17.9,16.5,56,0.0
19,977.1,17.3,15.5,57,0.0
20,976.4,16.3,13.7,63,0.0
19,976.3,16.2,13.6,58,0.0
16,976.5,16.5,13.3,55,0.0
16,977.2,16.9,13.2,52,0.0
16,978.2,16.5,13.9,53,0.0
16,978.3,14.8,13.1,62,0.0
16,978.5,14.9,12.9,57,0.0
12,978.4,12.6,11.2,69,0.0
10,978.2,11.4,9.9,72,0.0
9,978.1,10.3,8.8,80,0.0
9,978.0,9.9,8.4,83,0.0
9,977.8,9.8,8.3,84,0.0
8,977.8,9.2,7.9,86,0.0
13,977.6,10.3,9.3,86,0.0
18,977.6,12.7,11.8,77,0.0
15,977.9,15.6,15.0,68,0.0
15,977.6,17.8,18.0,63,0.0
17,977.0,21.5,19.7,37,0.0
19,976.7,22.0,20.7,39,0.0
20,975.8,22.5,20.7,40,0.0
18,975.4,22.5,19.9,37,0.0
19,974.5,22.0,19.9,38,0.0
19,974.3,22.0,20.3,40,0.0
19,973.7,21.1,19.9,42,0.0
20,973.5,19.6,18.1,41,0.0
20,974.2,17.5,14.9,41,0.0
13,974.3,17.1,14.4,43,0.0
11,973.7,15.4,13.2,47,0.0
6,974.2,14.9,13.1,54,0.0
9,974.4,13.8,11.9,57,0.0
6,974.3,13.2,11.5,61,0.0
7,973.4,11.1,9.3,72,0.0
1,973.6,10.8,9.1,76,0.0
2,973.7,10.8,9.0,74,0.0
2,973.7,11.3,9.0,69,0.0
2,973.4,10.9,9.1,72,0.0
2,972.7,10.4,7.8,70,0.0
3,973.4,12.4,9.9,64,0.0
3,973.7,13.2,11.2,64,0.0
2,973.5,18.5,16.1,48,0.0
2,973.7,19.9,18.5,45,0.0
2,973.6,21.3,20.1,41,0.0
4,973.8,21.7,18.9,38,0.0
14,973.4,21.0,19.3,43,0.0
13,973.6,20.6,17.7,43,0.1
9,973.2,19.5,17.7,53,0.0
16,972.5,19.2,16.4,52,0.0
10,973.3,18.6,17.2,54,0.0
15,973.1,17.1,15.3,60,0.0
14,973.5,15.9,14.0,65,0.0
9,974.0,15.4,13.8,62,0.0
5,974.4,14.8,14.5,68,0.0
3,973.6,14.9,13.6,69,0.0
3,974.0,14.2,13.7,75,0.0
3,973.4,13.1,12.3,81,0.0
4,972.7,15.1,14.0,67,0.0
5,972.0,14.7,12.5,71,0.0
5,970.8,14.0,12.6,75,0.0
5,970.1,15.4,13.2,66,0.0
7,971.2,17.0,14.4,57,0.0
7,970.9,20.2,18.5,46,0.0
10,969.7,24.0,22.3,31,0.0
10,969.9,23.5,22.4,39,0.0
10,969.5,24.4,22.4,35,0.0
12,968.9,25.0,22.9,32,0.0
12,968.4,24.5,21.2,30,0.0
12,967.0,24.0,19.8,34,0.0
10,965.9,22.0,16.6,40,0.0
10,966.4,19.5,16.8,50,0.0
20,967.8,17.2,14.4,54,0.0
14,969.7,13.0,9.3,66,0.4
12,969.6,12.1,9.3,66,0.1
12,969.8,11.9,9.4,66,0.0
12,970.4,11.4,9.2,73,0.1
11,972.0,10.9,9.4,76,0.0
11,973.6,10.6,9.3,73,0.0
11,974.2,9.8,8.2,72,0.0
11,974.4,9.5,7.9,73,0.0
11,974.9,9.5,7.6,68,0.0
10,975.5,9.3,7.3,68,0.0
12,975.6,9.8,6.9,69,0.0
16,976.7,11.2,8.4,68,0.0
20,977.2,12.4,9.4,64,0.0
11,978.5,14.7,11.2,49,0.0
9,979.0,15.8,12.3,39,0.0
19,979.2,17.2,14.2,32,0.0
13,978.7,17.7,13.9,29,0.0
15,978.6,18.0,14.4,28,0.0
18,978.5,16.9,12.8,35,0.0
13,979.4,13.9,9.5,54,0.0
11,979.5,12.4,10.5,61,0.0
6,979.7,14.1,11.4,50,0.0
11,980.1,12.5,9.5,56,0.0
11,980.5,11.8,9.8,59,0.0
6,980.9,11.1,8.7,60,0.0
6,981.2,10.3,7.6,57,0.0
7,981.7,9.4,7.2,60,0.0
3,981.9,8.0,6.3,74,0.0
3,981.9,6.6,5.2,90,0.0
3,981.7,6.7,4.7,74,0.0
4,981.4,5.2,3.0,81,0.0
4,981.3,5.1,2.9,81,0.0
4,981.6,5.2,3.2,80,0.0
4,981.7,4.6,2.7,82,0.0
5,981.2,4.8,2.5,81,0.0
11,981.2,5.1,3.2,88,0.0
14,981.3,7.1,5.2,79,0.0
19,981.3,10.9,9.2,65,0.0
9,981.4,12.9,11.2,60,0.0
9,980.6,14.8,13.2,57,0.0
14,979.7,16.3,15.2,52,0.0
16,979.6,16.5,13.1,46,0.0
18,979.6,15.8,12.4,46,0.0
17,979.0,15.2,11.8,49,0.0
6,978.7,14.6,11.6,47,0.0
9,978.6,14.2,11.8,51,0.0
14,979.0,13.5,11.5,50,0.0
18,979.5,11.4,9.9,62,0.0
12,979.7,10.9,8.4,56,0.0
3,979.7,12.1,8.0,49,0.0
0,980.4,12.3,8.2,49,0.0
0,981.0,12.4,8.1,48,0.0
1,981.5,12.9,8.7,48,0.0
2,981.9,12.1,8.8,53,0.0
2,982.4,12.2,8.7,54,0.0
2,982.5,11.9,8.7,56,0.0
2,982.6,11.1,8.2,60,0.0
3,982.8,10.6,8.0,62,0.0
3,982.8,11.3,8.4,60,0.0
7,983.5,12.7,10.0,58,0.0
11,983.8,14.4,12.5,53,0.0
16,984.0,16.6,14.9,49,0.0
20,983.9,17.5,15.7,45,0.0
17,984.1,19.2,18.6,40,0.0
