available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
6,968.0,15.5,11.3,43,0.0
7,968.1,14.9,11.5,49,0.0
18,968.2,14.2,11.0,54,0.0
18,968.3,12.0,9.8,67,0.1
20,967.5,12.1,9.9,66,0.1
11,967.1,11.4,9.3,76,0.0
11,967.5,10.5,8.1,83,0.0
10,967.8,9.8,8.3,91,0.4
10,968.2,9.6,8.5,91,0.0
10,969.9,9.9,8.9,89,0.0
11,973.1,9.8,7.4,83,0.0
11,975.2,8.4,5.2,69,0.0
11,975.2,7.2,5.4,78,0.0
11,976.8,6.1,4.5,89,0.0
11,977.3,5.8,4.2,93,0.0
11,977.4,5.6,3.9,93,0.0
11,977.8,5.2,3.3,93,0.0
11,977.7,4.9,3.0,90,0.0
11,978.2,4.8,3.1,90,0.0
6,978.4,5.7,4.0,88,0.0
3,978.4,7.2,5.7,84,0.0
4,978.2,15.1,13.0,66,0.0
6,978.0,18.4,15.7,48,0.0
7,977.9,18.6,16.1,50,0.0
13,977.8,18.6,16.1,53,0.0
20,978.0,18.7,16.3,54,0.0
20,977.6,17.7,15.7,59,0.0
20,977.7,17.6,15.7,58,0.0
8,977.2,17.0,15.0,60,0.0
9,976.5,16.1,13.7,65,0.0
9,976.6,16.1,14.0,59,0.0
12,976.8,16.4,14.3,55,0.0
14,977.3,16.8,13.7,51,0.0
11,978.3,16.6,14.2,51,0.0
15,978.4,14.7,13.4,63,0.0
15,978.7,14.6,12.9,59,0.0
16,978.5,13.0,11.4,65,0.0
16,978.4,11.6,10.1,71,0.0
16,978.3,11.5,9.9,73,0.0
16,978.2,11.3,9.9,75,0.0
16,978.0,11.2,9.9,75,0.0
16,977.8,10.5,9.2,81,0.0
15,977.6,11.0,9.8,79,0.0
15,977.7,12.6,11.5,73,0.0
19,977.9,15.6,15.1,66,0.0
18,977.5,18.4,18.5,58,0.0
18,977.1,21.4,19.1,35,0.0
20,976.8,21.4,19.6,40,0.0
