available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
19,970.4,14.8,9.8,46,0.0
16,970.5,14.1,10.5,53,0.0
18,970.6,13.8,10.1,57,0.0
11,970.8,11.8,9.4,70,0.1
4,970.0,11.8,9.4,71,0.1
0,969.6,11.1,9.2,80,0.0
2,969.9,10.5,8.2,84,0.0
6,970.1,10.1,8.4,87,0.4
7,970.5,10.2,8.6,87,0.0
7,972.1,9.9,8.9,89,0.0
6,975.4,9.8,7.9,86,0.0
6,977.5,8.6,5.4,70,0.0
6,977.6,7.4,5.9,78,0.0
6,979.2,5.9,4.2,89,0.0
6,979.7,5.2,3.4,93,0.0
6,979.7,4.9,3.1,93,0.0
6,980.2,4.8,2.8,92,0.0
6,980.2,5.1,2.8,88,0.0
6,980.5,5.0,3.0,88,0.0
4,980.7,6.4,4.9,87,0.0
5,980.7,9.2,7.3,81,0.0
9,980.7,14.6,11.3,68,0.0
12,980.4,17.6,13.9,52,0.0
8,980.4,17.8,14.8,56,0.0
0,980.2,17.8,14.7,59,0.0
2,980.3,18.0,15.3,60,0.0
0,979.9,16.8,14.6,68,0.0
3,980.1,17.0,14.9,66,0.0
3,979.5,16.4,14.0,68,0.0
3,978.9,15.8,12.5,68,0.0
2,978.9,15.4,12.3,63,0.0
2,979.3,15.8,13.1,60,0.0
13,979.6,16.5,13.3,55,0.0
13,980.6,16.8,13.8,52,0.0
13,980.8,15.4,14.6,61,0.0
13,981.0,14.3,13.4,63,0.0
12,980.8,12.4,11.1,71,0.0
12,980.8,11.6,10.2,74,0.0
12,980.6,11.1,9.7,77,0.0
12,980.5,11.0,9.8,77,0.0
12,980.3,11.0,9.8,77,0.0
12,980.1,10.4,9.2,81,0.0
11,979.9,11.1,10.1,79,0.0
9,980.0,12.5,11.8,77,0.0
8,980.2,16.4,15.6,64,0.0
9,979.9,18.8,17.2,54,0.0
7,979.4,20.3,17.8,42,0.0
8,979.2,20.5,18.7,46,0.0
3,978.3,21.6,19.5,41,0.0
1,977.7,22.4,19.6,36,0.0
2,976.9,21.9,19.3,38,0.0
8,976.6,21.6,19.7,42,0.0
6,976.0,20.8,18.9,42,0.0
8,975.9,19.5,16.9,40,0.0
11,976.4,17.5,15.2,46,0.0
9,976.7,15.9,14.3,54,0.0
20,976.2,14.4,12.6,57,0.0
20,976.6,13.6,11.8,61,0.0
18,976.8,12.9,11.2,65,0.0
17,976.8,13.1,11.5,66,0.0
17,975.9,12.8,9.6,62,0.0
16,976.0,12.6,10.0,65,0.0
16,976.0,12.6,9.8,65,0.0
14,976.1,12.3,9.3,65,0.0
14,975.8,12.1,8.9,66,0.0
14,975.1,12.4,8.8,61,0.0
14,976.0,12.9,10.6,63,0.0
14,976.1,14.1,11.7,60,0.0
15,976.0,16.1,12.8,54,0.0
10,976.0,17.5,14.7,53,0.0
9,975.9,20.9,18.2,42,0.0
