available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
3,968.7,15.6,11.4,43,0.0
4,968.7,14.9,11.5,49,0.0
6,968.9,14.3,11.1,54,0.0
5,969.0,12.1,9.9,67,0.1
9,968.2,12.1,9.9,66,0.1
9,967.8,11.4,9.3,76,0.0
12,968.2,10.6,8.2,83,0.0
12,968.5,9.8,8.3,91,0.4
12,968.9,9.7,8.6,91,0.0
12,970.6,9.9,9.0,89,0.0
14,973.8,9.8,7.5,83,0.0
13,976.0,8.4,5.3,69,0.0
14,975.9,7.3,5.4,78,0.0
13,977.5,6.1,4.5,89,0.0
13,978.0,5.8,4.2,93,0.0
12,978.1,5.6,3.9,93,0.0
12,978.5,5.2,3.4,93,0.0
12,978.5,5.0,3.1,90,0.0
12,978.9,4.8,3.1,90,0.0
4,979.1,5.7,4.0,88,0.0
7,979.1,7.2,5.7,84,0.0
10,978.9,15.1,13.0,66,0.0
10,978.7,18.5,15.7,48,0.0
8,978.6,18.6,16.1,50,0.0
13,978.5,18.6,16.1,53,0.0
20,978.6,18.8,16.3,54,0.0
17,978.2,17.8,15.8,59,0.0
13,978.4,17.6,15.8,58,0.0
13,977.9,17.0,15.1,60,0.0
17,977.2,16.1,13.8,65,0.0
14,977.3,16.1,14.0,59,0.0
13,977.5,16.5,14.3,55,0.0
10,978.0,16.9,13.8,51,0.0
13,979.0,16.6,14.3,51,0.0
15,979.1,14.8,13.5,63,0.0
16,979.4,14.6,13.0,59,0.0
19,979.2,13.1,11.5,65,0.0
19,979.1,11.7,10.2,71,0.0
19,979.0,11.6,10.0,73,0.0
20,978.9,11.3,9.9,75,0.0
20,978.7,11.3,9.9,75,0.0
20,978.5,10.6,9.3,81,0.0
20,978.3,11.1,9.9,79,0.0
20,978.4,12.6,11.6,73,0.0
16,978.6,15.6,15.1,66,0.0
15,978.2,18.4,18.6,58,0.0
11,977.8,21.4,19.2,35,0.0
11,977.5,21.5,19.7,40,0.0
10,976.6,22.1,20.0,40,0.0
15,976.1,22.5,19.5,35,0.0
11,975.3,22.1,19.5,36,0.0
5,975.1,22.0,19.9,39,0.0
3,974.4,21.2,19.3,39,0.0
6,974.2,20.0,18.0,39,0.0
10,974.9,17.6,15.3,43,0.0
13,975.2,17.0,14.8,42,0.0
15,974.5,14.8,13.0,55,0.0
12,974.9,13.7,12.2,62,0.0
15,975.1,12.9,11.5,64,0.0
16,975.0,12.3,10.9,71,0.0
17,974.3,11.8,9.3,67,0.0
17,974.4,11.4,9.5,73,0.0
17,974.5,11.3,9.2,72,0.0
17,974.5,11.4,9.1,69,0.0
18,974.2,11.4,9.1,69,0.0
17,973.5,11.4,8.3,65,0.0
17,974.3,12.8,10.1,62,0.0
17,974.4,13.6,11.7,62,0.0
17,974.2,16.6,13.7,53,0.0
17,974.5,17.8,15.6,52,0.0
17,974.3,21.2,19.9,38,0.0
16,974.6,21.8,18.5,36,0.0
10,974.1,21.0,19.0,41,0.0
9,974.4,20.8,17.8,41,0.1
10,974.0,19.4,17.7,52,0.0
