available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
17,967.4,15.6,11.6,44,0.0
10,967.4,15.2,12.2,50,0.0
12,967.6,14.4,11.7,55,0.0
13,967.7,12.1,10.3,66,0.2
6,966.9,12.5,10.7,65,0.1
2,966.5,11.9,10.1,75,0.1
8,966.8,11.4,9.4,78,0.0
9,967.0,10.8,9.5,85,0.3
10,967.7,9.7,8.2,91,0.0
10,969.4,9.6,8.6,91,0.0
11,972.4,9.9,8.5,85,0.0
10,974.9,8.3,5.8,70,0.0
10,974.7,7.1,5.0,79,0.0
10,976.3,5.3,3.7,90,0.0
9,976.7,4.9,3.5,94,0.0
9,976.8,4.8,3.2,94,0.0
9,977.2,4.7,2.9,95,0.0
9,977.2,4.1,1.9,94,0.0
10,977.5,3.8,2.0,96,0.0
10,977.9,5.2,3.5,91,0.0
11,977.8,6.9,5.3,85,0.0
17,977.7,16.1,14.9,62,0.0
19,977.5,18.7,16.3,50,0.0
19,977.4,18.5,16.2,52,0.0
19,977.3,18.8,16.6,53,0.0
18,977.3,19.0,16.9,53,0.0
16,977.1,18.2,16.3,56,0.0
9,977.1,17.9,16.5,56,0.0
8,976.7,17.2,15.5,57,0.0
5,976.0,16.3,13.7,63,0.0
5,975.9,16.2,13.6,58,0.0
3,976.1,16.5,13.3,55,0.0
4,976.7,16.9,13.2,52,0.0
7,977.7,16.5,13.9,53,0.0
7,977.8,14.8,13.1,62,0.0
10,978.0,14.9,12.9,57,0.0
9,978.0,12.6,11.2,69,0.0
9,977.7,11.4,9.8,72,0.0
9,977.6,10.2,8.8,80,0.0
9,977.6,9.9,8.4,83,0.0
9,977.4,9.8,8.3,84,0.0
8,977.3,9.2,7.9,86,0.0
9,977.1,10.3,9.3,86,0.0
10,977.1,12.7,11.8,77,0.0
9,977.4,15.6,14.9,68,0.0
10,977.1,17.8,18.0,63,0.0
11,976.5,21.5,19.7,37,0.0
12,976.2,22.0,20.7,39,0.0
11,975.4,22.4,20.6,40,0.0
11,974.9,22.5,19.9,37,0.0
11,974.1,22.0,19.9,38,0.0
11,973.9,22.0,20.3,40,0.0
11,973.2,21.1,19.9,42,0.0
13,973.1,19.6,18.1,41,0.0
15,973.7,17.5,14.9,41,0.0
14,973.8,17.1,14.4,43,0.0
12,973.3,15.4,13.2,47,0.0
11,973.7,14.9,13.1,54,0.0
12,974.0,13.8,11.9,57,0.0
11,973.8,13.2,11.5,61,0.0
12,973.0,11.1,9.3,72,0.0
12,973.1,10.7,9.1,76,0.0
12,973.2,10.8,9.0,74,0.0
12,973.3,11.3,9.0,69,0.0
12,972.9,10.9,9.0,72,0.0
12,972.2,10.4,7.8,70,0.0
12,972.9,12.4,9.9,64,0.0
12,973.2,13.2,11.2,64,0.0
12,973.0,18.5,16.0,48,0.0
12,973.3,19.9,18.5,45,0.0
12,973.1,21.3,20.1,41,0.0
12,973.4,21.7,18.9,38,0.0
13,972.9,21.0,19.2,43,0.0
13,973.2,20.6,17.7,43,0.1
15,972.7,19.5,17.7,53,0.0
13,972.0,19.2,16.4,52,0.0
10,972.8,18.6,17.2,54,0.0
11,972.7,17.1,15.3,60,0.0
11,973.0,15.9,14.0,65,0.0
9,973.6,15.4,13.8,62,0.0
4,974.0,14.8,14.5,68,0.0
4,973.1,14.9,13.6,69,0.0
8,973.5,14.2,13.7,75,0.0
9,972.9,13.1,12.3,81,0.0
7,972.3,15.1,14.0,67,0.0
7,971.5,14.7,12.5,71,0.0
6,970.3,13.9,12.5,75,0.0
6,969.7,15.4,13.2,66,0.0
6,970.7,17.0,14.4,57,0.0
5,970.4,20.1,18.4,46,0.0
11,969.3,24.0,22.3,31,0.0
12,969.5,23.5,22.4,39,0.0
12,969.1,24.4,22.4,35,0.0
10,968.5,25.0,22.9,32,0.0
13,968.0,24.5,21.2,30,0.0
14,966.6,24.0,19.8,34,0.0
14,965.5,22.0,16.6,40,0.0
13,966.0,19.5,16.8,50,0.0
12,967.2,18.0,15.6,53,0.0
10,969.2,13.0,9.3,66,0.4
11,969.1,12.1,9.3,66,0.1
12,969.3,11.9,9.4,66,0.0
12,969.9,11.4,9.2,73,0.1
12,971.5,10.9,9.4,76,0.0
12,973.1,10.6,9.3,73,0.0
12,973.8,9.7,8.1,72,0.0
12,973.9,9.4,7.9,73,0.0
13,974.4,9.4,7.6,68,0.0
13,975.1,9.3,7.3,68,0.0
14,975.1,9.8,6.9,69,0.0
15,976.3,11.2,8.4,68,0.0
19,976.7,12.4,9.4,64,0.0
20,978.0,14.7,11.2,49,0.0
20,978.5,15.8,12.3,39,0.0
8,978.8,17.2,14.2,32,0.0
19,978.3,17.7,13.9,29,0.0
13,978.1,18.0,14.3,28,0.0
13,978.1,16.9,12.8,35,0.0
11,978.9,13.9,9.5,54,0.0
5,979.0,12.4,10.5,61,0.0
9,979.2,14.1,11.3,50,0.0
4,979.6,12.5,9.5,56,0.0
5,980.0,11.8,9.8,59,0.0
3,980.4,11.1,8.7,60,0.0
4,980.7,10.3,7.6,57,0.0
8,981.2,9.4,7.2,60,0.0
7,981.3,8.3,6.6,72,0.0
8,981.4,6.6,5.2,90,0.0
8,981.2,6.7,4.7,74,0.0
7,981.0,5.2,2.9,81,0.0
6,980.9,5.1,2.9,81,0.0
6,981.2,5.1,3.1,80,0.0
7,981.2,4.6,2.7,82,0.0
6,980.7,4.8,2.5,81,0.0
8,980.8,5.0,3.2,88,0.0
9,980.8,7.1,5.2,79,0.0
16,980.9,10.9,9.2,65,0.0
18,980.9,12.9,11.2,60,0.0
16,980.2,14.8,13.2,57,0.0
20,979.3,16.3,15.2,52,0.0
20,979.2,16.4,13.1,46,0.0
19,979.1,15.7,12.3,46,0.0
14,978.6,15.2,11.8,49,0.0
16,978.2,14.6,11.6,47,0.0
11,978.2,14.2,11.8,51,0.0
13,978.6,13.5,11.5,50,0.0
7,979.0,11.4,9.8,62,0.0
4,979.2,10.9,8.4,56,0.0
7,979.1,12.0,8.0,49,0.0
7,980.0,12.3,8.2,49,0.0
7,980.6,12.4,8.1,48,0.0
5,981.0,12.9,8.7,48,0.0
5,981.4,12.1,8.8,53,0.0
5,981.9,12.2,8.7,54,0.0
5,982.1,11.9,8.7,56,0.0
5,982.1,11.1,8.2,60,0.0
6,982.3,10.5,7.9,62,0.0
8,982.4,11.3,8.4,60,0.0
17,983.0,12.6,10.0,58,0.0
16,983.3,14.4,12.5,53,0.0
15,983.6,16.6,14.9,49,0.0
18,983.5,17.5,15.7,45,0.0
13,983.7,19.2,18.6,40,0.0
20,983.5,19.5,19.4,44,0.0
16,982.9,21.0,19.5,30,0.0
20,982.3,21.2,19.8,33,0.0
16,981.8,20.9,19.2,42,0.0
13,981.4,20.6,18.3,41,0.0
10,981.2,18.9,16.6,45,0.0
14,981.2,18.0,15.5,42,0.0
20,981.4,15.8,14.4,52,0.0
15,983.3,14.1,12.2,53,0.0
15,983.6,13.6,11.4,55,0.0
15,984.1,12.4,10.3,63,0.0
15,984.8,11.4,9.9,69,0.0
15,985.5,10.1,8.8,75,0.0
15,985.7,10.1,8.8,74,0.0
15,986.0,10.3,8.3,71,0.0
18,986.4,9.9,8.3,74,0.0
18,986.7,10.2,8.9,71,0.0
15,987.2,10.1,8.7,78,0.0
18,987.4,11.8,10.1,69,0.0
19,987.8,14.9,13.8,64,0.0
20,987.9,18.9,18.4,55,0.0
20,987.3,21.0,19.6,43,0.0
20,986.9,22.2,20.8,36,0.0
19,986.0,22.9,21.6,37,0.0
20,985.5,23.6,22.5,36,0.0
18,985.0,23.6,21.5,37,0.0
17,984.6,22.8,20.4,39,0.0
15,984.7,21.6,20.3,44,0.0
7,984.2,19.6,18.8,49,0.0
5,984.6,16.4,15.3,57,0.0
4,985.1,15.4,14.1,55,0.0
6,985.4,15.2,14.3,59,0.0
7,985.5,14.0,13.3,69,0.0
6,985.4,13.9,13.1,69,0.0
5,984.9,15.7,14.1,53,0.0
5,985.6,12.5,11.7,75,0.0
5,986.2,12.3,11.1,72,0.0
5,986.1,12.2,11.0,72,0.0
5,986.1,10.7,9.7,84,0.0
5,985.9,9.7,8.8,89,0.0
7,986.5,11.9,11.3,82,0.0
6,986.9,13.0,12.4,78,0.0
6,987.3,17.6,16.8,61,0.0
