available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
9,968.4,14.6,9.6,46,0.0
11,968.4,14.0,10.3,53,0.0
12,968.5,13.6,9.9,57,0.0
13,968.7,11.6,9.2,70,0.1
13,967.9,11.6,9.2,71,0.1
13,967.5,11.1,9.1,80,0.0
13,967.8,10.4,8.0,84,0.0
13,968.0,9.9,8.2,87,0.4
13,968.4,10.1,8.4,87,0.0
13,970.0,9.7,8.8,89,0.0
13,973.3,9.6,7.7,86,0.0
13,975.4,8.5,5.3,70,0.0
13,975.5,7.3,5.7,78,0.0
13,977.0,5.8,4.0,89,0.0
13,977.5,5.1,3.3,93,0.0
13,977.6,4.8,3.0,93,0.0
13,978.0,4.6,2.6,92,0.0
13,978.0,5.0,2.6,88,0.0
13,978.4,4.8,2.9,88,0.0
12,978.5,6.3,4.7,87,0.0
13,978.6,9.1,7.1,81,0.0
12,978.6,14.4,11.1,68,0.0
13,978.3,17.5,13.7,52,0.0
13,978.4,17.6,14.6,56,0.0
10,978.2,17.7,14.6,59,0.0
9,978.2,17.9,15.1,60,0.0
10,977.9,16.6,14.4,68,0.0
9,978.0,16.8,14.7,66,0.0
10,977.4,16.3,13.9,68,0.0
10,976.8,15.6,12.3,68,0.0
8,976.8,15.4,12.2,63,0.0
5,977.2,15.6,12.9,60,0.0
7,977.5,16.3,13.1,55,0.0
7,978.5,16.6,13.6,52,0.0
7,978.7,15.2,14.5,61,0.0
7,978.9,14.1,13.2,63,0.0
7,978.7,12.3,11.0,71,0.0
7,978.6,11.5,10.1,74,0.0
7,978.5,10.9,9.6,77,0.0
7,978.4,10.9,9.6,77,0.0
7,978.2,10.9,9.6,77,0.0
7,978.0,10.2,9.0,81,0.0
7,977.8,10.9,10.0,79,0.0
7,977.9,12.4,11.6,77,0.0
7,978.1,16.2,15.4,64,0.0
7,977.8,18.6,17.0,54,0.0
6,977.4,20.1,17.7,42,0.0
5,977.1,20.4,18.5,46,0.0
7,976.3,21.5,19.3,41,0.0
7,975.7,22.2,19.4,36,0.0
7,974.8,21.7,19.1,38,0.0
5,974.6,21.5,19.5,42,0.0
8,973.9,20.6,18.7,42,0.0
9,973.8,19.4,16.7,40,0.0
9,974.4,17.3,15.0,46,0.0
9,974.7,15.7,14.1,54,0.0
9,974.1,14.2,12.4,57,0.0
9,974.5,13.4,11.6,61,0.0
9,974.7,12.8,11.0,65,0.0
9,974.7,13.0,11.3,66,0.0
9,973.8,12.6,9.4,62,0.0
9,973.9,12.6,9.9,65,0.0
9,973.9,12.4,9.7,65,0.0
9,974.0,12.1,9.1,65,0.0
9,973.7,11.9,8.8,66,0.0
9,973.0,12.2,8.6,61,0.0
9,974.0,12.8,10.5,63,0.0
9,974.0,13.9,11.5,60,0.0
9,973.9,16.0,12.6,54,0.0
9,974.0,17.4,14.5,53,0.0
9,973.8,20.7,18.0,42,0.0
9,974.2,21.0,17.2,39,0.0
9,973.7,20.6,17.9,42,0.0
9,973.9,20.3,17.1,43,0.2
8,973.6,18.3,16.2,58,0.0
8,972.9,18.8,15.3,53,0.0
8,973.7,18.2,16.0,58,0.0
8,973.6,17.1,14.2,61,0.0
8,973.7,16.2,12.9,65,0.0
8,974.3,15.6,13.8,68,0.0
8,974.7,15.4,14.0,67,0.0
8,973.9,14.9,12.7,72,0.0
8,974.5,13.6,12.5,80,0.0
8,973.9,13.3,12.1,81,0.0
8,972.8,13.9,12.7,78,0.0
8,972.3,14.3,11.1,74,0.0
8,971.3,13.8,12.5,78,0.0
8,970.7,15.4,11.8,69,0.0
8,971.6,17.4,15.2,57,0.0
8,971.5,20.1,18.2,49,0.0
