available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
13,967.6,14.8,9.1,45,0.0
17,967.8,14.0,10.1,53,0.0
10,967.9,13.5,9.6,59,0.1
9,967.9,11.5,8.9,70,0.1
10,967.2,11.7,9.1,69,0.1
11,966.8,11.2,9.1,78,0.0
12,967.2,10.3,7.6,84,0.0
12,967.3,9.8,7.9,90,0.4
12,967.9,9.4,7.8,91,0.0
13,969.5,9.6,8.6,90,0.0
13,972.7,9.1,7.8,92,0.0
13,975.0,8.4,5.2,69,0.0
13,975.0,7.1,4.9,76,0.0
13,976.4,5.8,3.9,91,0.0
13,977.0,5.6,3.7,92,0.0
13,977.1,5.3,3.5,92,0.0
13,977.5,4.9,2.8,92,0.0
13,977.4,4.8,2.3,91,0.0
13,977.7,4.1,2.0,95,0.0
14,978.0,6.3,4.7,89,0.0
16,978.0,8.9,6.7,83,0.0
16,978.1,15.6,12.5,63,0.0
16,977.9,18.0,14.8,51,0.0
17,977.8,18.0,15.0,54,0.0
20,977.7,17.8,14.9,58,0.0
19,977.7,18.0,15.4,58,0.0
16,977.3,16.9,14.9,66,0.0
17,977.5,17.0,15.1,64,0.0
17,977.0,16.5,13.8,65,0.0
17,976.2,15.7,11.4,68,0.0
20,976.0,15.5,10.7,62,0.0
19,976.2,15.7,10.4,59,0.0
18,976.9,16.4,11.5,55,0.0
19,978.0,16.7,13.2,52,0.0
19,978.2,16.7,14.8,52,0.0
18,978.4,16.1,14.3,51,0.0
19,978.2,11.8,10.4,74,0.0
19,978.0,10.8,9.4,78,0.0
19,977.8,10.4,9.3,81,0.0
19,977.6,10.4,9.2,81,0.0
20,977.4,9.8,8.7,84,0.0
20,977.6,7.8,6.7,99,0.0
20,977.3,9.4,8.2,90,0.0
20,977.4,11.1,10.3,86,0.0
20,977.7,16.3,15.7,65,0.0
20,977.4,19.7,17.5,43,0.0
19,977.1,20.5,18.2,40,0.0
17,976.7,20.9,19.2,44,0.0
14,975.8,21.9,19.5,40,0.0
16,975.2,22.5,19.1,35,0.0
18,974.3,22.3,19.3,36,0.0
20,974.0,22.0,19.6,40,0.0
19,973.4,20.9,19.0,41,0.0
18,973.4,19.6,17.4,40,0.0
16,974.1,16.6,14.5,49,0.0
17,974.3,15.8,14.1,53,0.0
19,973.7,14.1,12.4,60,0.0
19,974.1,13.1,11.3,64,0.0
19,974.2,12.4,10.6,65,0.0
19,974.2,12.1,10.4,70,0.0
19,973.4,11.6,8.6,67,0.0
20,973.4,11.1,8.6,73,0.0
20,973.5,11.3,8.8,71,0.0
20,973.7,11.6,8.8,67,0.0
20,973.3,11.6,8.6,68,0.0
20,972.8,11.6,8.1,63,0.0
20,973.2,12.0,9.6,67,0.0
20,973.3,14.1,12.1,62,0.0
20,973.5,16.3,13.4,55,0.0
20,973.6,17.9,15.2,52,0.0
19,973.4,21.2,18.8,40,0.0
18,973.8,21.2,18.1,39,0.0
17,973.2,21.5,18.4,40,0.0
20,973.3,20.9,17.2,41,0.3
19,973.1,18.7,16.1,55,0.0
18,972.5,19.0,15.8,53,0.0
19,973.2,18.2,16.6,58,0.0
18,973.2,17.1,14.5,60,0.0
20,973.5,16.0,13.2,67,0.0
20,973.9,15.8,13.3,65,0.0
19,974.3,15.8,13.7,64,0.0
18,973.6,14.9,12.4,71,0.0
