available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
15,967.8,15.5,11.3,43,0.0
15,967.8,14.9,11.5,49,0.0
16,967.9,14.2,11.0,54,0.0
16,968.1,12.0,9.8,67,0.1
16,967.3,12.1,9.9,66,0.1
4,966.9,11.4,9.3,76,0.0
5,967.2,10.5,8.1,83,0.0
8,967.5,9.7,8.2,91,0.4
10,968.0,9.6,8.5,91,0.0
10,969.7,9.9,8.9,89,0.0
11,972.9,9.8,7.4,83,0.0
11,975.0,8.4,5.2,69,0.0
11,975.0,7.2,5.4,78,0.0
11,976.6,6.0,4.4,89,0.0
10,977.0,5.7,4.1,93,0.0
10,977.2,5.5,3.8,93,0.0
10,977.5,5.2,3.3,93,0.0
10,977.5,4.9,3.0,90,0.0
9,978.0,4.8,3.1,90,0.0
10,978.2,5.7,4.0,88,0.0
8,978.2,7.2,5.7,84,0.0
13,978.0,15.1,13.0,66,0.0
15,977.8,18.4,15.7,48,0.0
14,977.7,18.6,16.1,50,0.0
16,977.6,18.5,16.0,53,0.0
15,977.7,18.7,16.3,54,0.0
14,977.3,17.7,15.7,59,0.0
16,977.5,17.6,15.7,58,0.0
16,977.0,17.0,15.0,60,0.0
8,976.3,16.1,13.7,65,0.0
9,976.4,16.0,14.0,59,0.0
12,976.6,16.4,14.3,55,0.0
15,977.0,16.8,13.7,51,0.0
14,978.1,16.6,14.2,51,0.0
13,978.2,14.7,13.4,63,0.0
14,978.4,14.6,12.9,59,0.0
13,978.3,13.0,11.4,65,0.0
13,978.2,11.6,10.1,71,0.0
12,978.1,11.5,9.9,73,0.0
13,978.0,11.2,9.8,75,0.0
13,977.8,11.2,9.9,75,0.0
13,977.6,10.5,9.2,81,0.0
13,977.3,11.0,9.8,79,0.0
13,977.4,12.6,11.5,73,0.0
14,977.7,15.6,15.0,66,0.0
15,977.3,18.4,18.5,58,0.0
15,976.9,21.4,19.1,35,0.0
15,976.6,21.4,19.6,40,0.0
15,975.7,22.0,19.9,40,0.0
15,975.2,22.5,19.5,35,0.0
11,974.4,22.0,19.4,36,0.0
5,974.2,22.0,19.9,39,0.0
6,973.4,21.2,19.3,39,0.0
7,973.3,20.0,18.0,39,0.0
4,974.0,17.5,15.2,43,0.0
11,974.2,17.0,14.7,42,0.0
14,973.6,14.7,13.0,55,0.0
15,974.0,13.6,12.1,62,0.0
13,974.2,12.9,11.5,64,0.0
15,974.1,12.2,10.8,71,0.0
13,973.4,11.7,9.2,67,0.0
13,973.5,11.3,9.4,73,0.0
13,973.6,11.2,9.2,72,0.0
12,973.5,11.4,9.1,69,0.0
12,973.2,11.3,9.0,69,0.0
12,972.6,11.4,8.2,65,0.0
12,973.4,12.8,10.1,62,0.0
13,973.5,13.6,11.7,62,0.0
14,973.3,16.5,13.6,53,0.0
14,973.6,17.8,15.5,52,0.0
14,973.4,21.2,19.9,38,0.0
14,973.7,21.8,18.5,36,0.0
14,973.2,21.0,19.0,41,0.0
9,973.5,20.8,17.8,41,0.1
5,973.1,19.4,17.7,52,0.0
6,972.4,19.3,16.1,50,0.0
3,973.2,18.6,16.8,54,0.0
6,973.0,17.4,15.2,58,0.0
7,973.3,16.3,13.8,64,0.0
7,973.8,15.8,14.6,63,0.0
8,974.3,14.8,14.3,71,0.0
9,973.4,14.7,13.4,71,0.0
10,973.9,13.5,12.4,80,0.0
9,973.3,13.2,12.0,82,0.0
9,972.4,14.3,13.7,71,0.0
9,971.8,14.1,11.6,75,0.0
9,970.6,13.3,11.7,80,0.0
9,970.1,15.2,12.5,70,0.0
9,971.1,17.2,14.8,56,0.0
9,970.8,20.3,18.2,43,0.0
11,969.6,23.4,20.6,32,0.0
8,969.9,23.0,21.3,40,0.0
10,969.4,24.0,21.8,36,0.0
13,968.8,24.8,22.6,33,0.0
12,968.3,24.4,21.0,30,0.0
10,966.9,24.1,20.0,33,0.0
8,965.6,22.1,16.9,39,0.0
7,966.3,19.9,17.4,48,0.0
2,967.7,17.6,15.3,53,0.0
2,969.5,13.1,9.5,65,0.4
1,969.4,12.3,9.6,65,0.1
1,969.5,12.0,9.4,65,0.1
1,970.1,11.2,8.8,72,0.1
1,971.7,10.6,9.0,77,0.0
2,973.3,10.7,9.6,74,0.0
2,974.1,9.7,8.6,88,0.0
2,974.3,9.6,8.5,87,0.0
2,974.7,9.4,8.0,82,0.0
1,975.4,9.1,7.8,80,0.0
4,975.4,9.8,7.4,69,0.0
1,976.5,10.9,8.8,69,0.0
2,976.9,12.3,9.6,65,0.0
1,978.2,14.5,11.0,49,0.0
8,978.7,15.6,12.1,39,0.0
12,979.0,17.0,14.0,31,0.0
13,978.6,17.5,14.0,30,0.0
16,978.4,17.5,13.8,34,0.0
12,978.3,16.9,12.7,36,0.0
15,979.2,13.3,9.2,58,0.0
16,979.2,12.1,9.7,62,0.0
10,979.3,13.9,11.2,51,0.0
16,979.9,12.6,9.8,56,0.0
15,980.3,11.9,10.2,60,0.0
15,980.8,11.4,9.7,63,0.0
15,981.0,10.4,8.4,59,0.0
14,981.4,8.4,6.9,79,0.0
12,981.6,7.2,5.9,96,0.0
11,981.7,6.3,5.0,97,0.0
