available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
12,968.0,14.8,9.1,45,0.0
13,968.2,14.0,10.1,53,0.0
13,968.2,13.5,9.6,59,0.1
12,968.3,11.5,8.9,70,0.1
13,967.5,11.7,9.1,69,0.1
13,967.2,11.2,9.1,78,0.0
10,967.6,10.3,7.6,84,0.0
12,967.7,9.8,7.9,90,0.4
11,968.2,9.4,7.8,91,0.0
11,969.9,9.6,8.6,90,0.0
11,973.0,9.1,7.8,92,0.0
11,975.4,8.4,5.2,69,0.0
11,975.3,7.1,4.9,76,0.0
11,976.8,5.8,4.0,91,0.0
11,977.4,5.6,3.7,92,0.0
11,977.4,5.3,3.5,92,0.0
11,977.9,4.9,2.8,92,0.0
10,977.7,4.8,2.3,91,0.0
10,978.1,4.1,2.0,95,0.0
10,978.3,6.3,4.7,89,0.0
15,978.3,8.9,6.7,83,0.0
15,978.4,15.6,12.5,63,0.0
17,978.3,18.0,14.8,51,0.0
18,978.2,18.0,15.0,54,0.0
11,978.1,17.8,14.9,58,0.0
14,978.1,18.0,15.4,58,0.0
15,977.7,16.9,14.9,66,0.0
16,977.9,17.0,15.1,64,0.0
19,977.3,16.5,13.9,65,0.0
10,976.6,15.7,11.4,68,0.0
7,976.4,15.5,10.7,62,0.0
7,976.6,15.7,10.4,59,0.0
9,977.2,16.4,11.5,55,0.0
12,978.3,16.7,13.2,52,0.0
12,978.5,16.7,14.8,52,0.0
12,978.8,16.1,14.3,51,0.0
13,978.6,11.9,10.4,74,0.0
12,978.3,10.8,9.4,78,0.0
12,978.1,10.4,9.3,81,0.0
11,977.9,10.4,9.2,81,0.0
10,977.8,9.8,8.7,84,0.0
10,977.9,7.8,6.7,99,0.0
10,977.6,9.4,8.2,90,0.0
9,977.7,11.1,10.3,86,0.0
6,978.0,16.3,15.7,65,0.0
6,977.7,19.7,17.5,43,0.0
5,977.4,20.5,18.2,40,0.0
5,977.0,20.9,19.2,44,0.0
7,976.2,21.9,19.6,40,0.0
4,975.6,22.5,19.1,35,0.0
4,974.7,22.3,19.3,36,0.0
1,974.4,22.0,19.6,40,0.0
1,973.8,20.9,19.0,41,0.0
0,973.7,19.6,17.4,40,0.0
1,974.5,16.6,14.5,49,0.0
3,974.6,15.8,14.1,53,0.0
4,974.1,14.1,12.4,60,0.0
2,974.4,13.1,11.3,64,0.0
1,974.6,12.4,10.6,65,0.0
2,974.5,12.1,10.4,70,0.0
1,973.8,11.6,8.6,67,0.0
1,973.7,11.1,8.7,73,0.0
1,973.9,11.3,8.8,71,0.0
1,974.0,11.6,8.8,67,0.0
1,973.7,11.6,8.6,68,0.0
0,973.1,11.6,8.1,63,0.0
1,973.6,12.0,9.6,67,0.0
1,973.6,14.1,12.1,62,0.0
0,973.8,16.3,13.4,55,0.0
0,973.9,17.9,15.2,52,0.0
2,973.8,21.2,18.8,40,0.0
2,974.2,21.2,18.1,39,0.0
1,973.5,21.5,18.4,40,0.0
0,973.7,20.9,17.2,41,0.3
2,973.4,18.7,16.1,55,0.0
1,972.9,19.0,15.8,53,0.0
0,973.6,18.2,16.6,58,0.0
1,973.5,17.1,14.5,60,0.0
1,973.8,16.0,13.2,67,0.0
5,974.3,15.8,13.3,65,0.0
4,974.7,15.8,13.7,64,0.0
4,974.0,14.9,12.4,71,0.0
6,974.2,14.1,12.8,77,0.0
6,973.6,14.1,13.2,77,0.0
6,972.9,14.2,11.4,76,0.0
6,972.5,13.9,11.2,76,0.0
6,971.1,13.4,11.0,80,0.0
5,970.6,15.2,12.5,69,0.0
5,971.4,17.0,14.7,59,0.0
5,971.2,21.6,19.4,35,0.0
12,970.1,22.7,19.8,37,0.0
13,970.2,22.6,20.7,42,0.0
12,969.7,23.6,21.4,39,0.0
11,969.0,24.9,22.1,33,0.0
15,968.5,24.0,20.2,31,0.0
16,967.1,23.8,19.2,35,0.0
17,965.9,21.8,16.3,41,0.0
15,966.6,19.9,17.2,50,0.0
14,968.0,17.5,15.4,53,0.0
14,969.6,13.4,9.8,63,0.3
14,969.6,12.6,10.9,64,0.1
14,969.8,12.1,9.9,66,0.1
14,970.6,11.5,9.1,74,0.0
14,972.0,10.5,9.0,79,0.0
15,973.7,10.3,9.2,82,0.0
15,974.4,9.5,8.4,92,0.0
15,974.6,9.4,8.1,90,0.0
15,975.1,8.9,7.5,87,0.0
16,975.8,8.4,7.3,87,0.0
17,975.7,9.7,7.4,65,0.0
19,976.9,10.9,9.3,70,0.0
11,977.4,12.2,10.4,66,0.0
11,978.6,14.6,11.8,52,0.0
15,979.1,15.6,12.1,40,0.0
13,979.4,16.9,14.0,34,0.0
16,978.9,17.2,13.7,29,0.0
20,979.1,15.3,12.6,64,0.0
10,978.8,15.7,12.0,45,0.0
3,979.0,15.1,11.9,43,0.0
5,979.6,12.2,9.5,60,0.0
9,979.7,13.4,11.0,58,0.0
9,980.2,12.2,9.7,59,0.0
8,980.6,10.2,9.3,86,0.0
9,981.1,9.9,8.4,73,0.0
10,981.4,8.4,6.7,77,0.0
10,981.8,7.0,5.4,89,0.0
10,982.0,7.0,5.4,86,0.0
10,982.0,5.9,4.5,89,0.0
10,981.8,6.5,4.5,73,0.0
9,981.7,5.2,3.4,81,0.0
