available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
4,968.4,15.6,11.4,43,0.0
0,968.4,14.9,11.5,49,0.0
8,968.5,14.3,11.1,54,0.0
15,968.7,12.1,9.9,67,0.1
18,967.9,12.1,9.9,66,0.1
20,967.4,11.4,9.3,76,0.0
20,967.8,10.6,8.2,83,0.0
12,968.1,9.8,8.3,91,0.4
11,968.6,9.7,8.6,91,0.0
11,970.3,9.9,9.0,89,0.0
10,973.4,9.8,7.5,83,0.0
10,975.6,8.4,5.3,69,0.0
9,975.6,7.3,5.4,78,0.0
9,977.2,6.1,4.5,89,0.0
9,977.6,5.8,4.2,93,0.0
9,977.8,5.6,3.9,93,0.0
9,978.1,5.2,3.4,93,0.0
9,978.1,5.0,3.1,90,0.0
9,978.6,4.8,3.1,90,0.0
12,978.8,5.7,4.0,88,0.0
7,978.8,7.2,5.7,84,0.0
11,978.6,15.1,13.0,66,0.0
11,978.4,18.5,15.7,48,0.0
11,978.3,18.6,16.1,50,0.0
13,978.2,18.6,16.1,53,0.0
12,978.3,18.8,16.3,54,0.0
14,977.9,17.8,15.8,59,0.0
15,978.1,17.6,15.8,58,0.0
15,977.5,17.0,15.1,60,0.0
15,976.9,16.1,13.8,65,0.0
7,976.9,16.1,14.0,59,0.0
8,977.2,16.5,14.3,55,0.0
6,977.6,16.9,13.8,51,0.0
8,978.7,16.6,14.3,51,0.0
8,978.7,14.8,13.5,63,0.0
8,979.0,14.6,13.0,59,0.0
7,978.8,13.1,11.5,65,0.0
7,978.8,11.7,10.2,71,0.0
7,978.7,11.6,10.0,73,0.0
7,978.5,11.3,9.9,75,0.0
7,978.4,11.3,9.9,75,0.0
7,978.2,10.6,9.3,81,0.0
8,977.9,11.1,9.9,79,0.0
7,978.0,12.6,11.6,73,0.0
7,978.2,15.6,15.1,66,0.0
6,977.9,18.4,18.6,58,0.0
5,977.4,21.4,19.2,35,0.0
6,977.1,21.5,19.7,40,0.0
7,976.2,22.1,20.0,40,0.0
13,975.8,22.5,19.5,35,0.0
17,975.0,22.1,19.5,36,0.0
20,974.8,22.0,19.9,39,0.0
19,974.0,21.2,19.3,39,0.0
19,973.9,20.0,18.0,39,0.0
17,974.6,17.6,15.3,43,0.0
17,974.8,17.0,14.8,42,0.0
17,974.2,14.8,13.0,55,0.0
17,974.6,13.7,12.2,62,0.0
16,974.8,12.9,11.5,64,0.0
16,974.7,12.3,10.9,71,0.0
15,974.0,11.8,9.3,67,0.0
14,974.1,11.3,9.4,73,0.0
14,974.2,11.3,9.2,72,0.0
14,974.1,11.4,9.1,69,0.0
14,973.8,11.3,9.0,69,0.0
14,973.1,11.4,8.3,65,0.0
14,974.0,12.8,10.1,62,0.0
14,974.1,13.6,11.7,62,0.0
14,973.9,16.6,13.7,53,0.0
14,974.1,17.8,15.6,52,0.0
14,973.9,21.2,19.9,38,0.0
12,974.3,21.8,18.5,36,0.0
7,973.8,21.0,19.0,41,0.0
7,974.0,21.2,18.3,40,0.0
8,973.6,19.4,17.7,52,0.0
4,972.9,19.4,16.2,50,0.0
2,973.7,18.7,16.9,54,0.0
