available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
19,971.3,14.9,9.9,46,0.0
7,971.4,14.2,10.6,53,0.0
2,971.5,13.8,10.2,57,0.0
8,971.7,11.8,9.5,70,0.1
5,970.9,11.8,9.4,71,0.1
6,970.5,11.2,9.3,80,0.0
11,970.8,10.6,8.2,84,0.0
12,971.1,10.1,8.5,87,0.4
12,971.5,10.3,8.6,87,0.0
13,973.1,9.9,9.0,89,0.0
11,976.4,9.9,8.0,86,0.0
12,978.5,8.7,5.5,70,0.0
12,978.6,7.5,6.0,78,0.0
11,980.1,5.9,4.2,89,0.0
11,980.6,5.2,3.5,93,0.0
11,980.7,5.0,3.2,93,0.0
11,981.2,4.8,2.9,92,0.0
11,981.1,5.2,2.8,88,0.0
11,981.5,5.1,3.1,88,0.0
15,981.6,6.5,5.0,87,0.0
17,981.6,9.2,7.3,81,0.0
16,981.6,14.6,11.3,68,0.0
16,981.3,17.7,13.9,52,0.0
16,981.4,17.9,14.9,56,0.0
13,981.2,17.9,14.8,59,0.0
12,981.2,18.0,15.3,60,0.0
11,980.9,16.8,14.6,68,0.0
5,981.0,17.0,14.9,66,0.0
5,980.4,16.5,14.1,68,0.0
6,979.8,15.9,12.5,68,0.0
6,979.9,15.5,12.3,63,0.0
7,980.2,15.8,13.1,60,0.0
6,980.5,16.5,13.4,55,0.0
4,981.5,16.8,13.9,52,0.0
0,981.7,15.4,14.7,61,0.0
0,982.0,14.4,13.5,63,0.0
1,981.8,12.4,11.2,71,0.0
1,981.7,11.6,10.3,74,0.0
1,981.5,11.1,9.8,77,0.0
1,981.4,11.1,9.8,77,0.0
1,981.3,11.1,9.9,77,0.0
1,981.1,10.4,9.2,81,0.0
1,980.9,11.1,10.2,79,0.0
1,980.9,12.6,11.9,77,0.0
0,981.1,16.5,15.7,64,0.0
0,980.8,18.9,17.2,54,0.0
2,980.3,20.4,17.9,42,0.0
3,980.1,20.6,18.8,46,0.0
6,979.2,21.7,19.6,41,0.0
5,978.6,22.5,19.7,36,0.0
4,977.8,21.9,19.3,38,0.0
4,977.6,21.7,19.8,42,0.0
2,976.9,20.9,18.9,42,0.0
2,976.8,19.6,16.9,40,0.0
0,977.3,17.5,15.2,46,0.0
0,977.7,15.9,14.4,54,0.0
1,977.1,14.4,12.6,57,0.0
1,977.5,13.6,11.8,61,0.0
0,977.8,12.9,11.3,65,0.0
0,977.7,13.2,11.5,66,0.0
0,976.9,12.8,9.7,62,0.0
0,977.0,12.7,10.0,65,0.0
1,976.9,12.6,9.8,65,0.0
1,977.0,12.4,9.4,65,0.0
0,976.7,12.1,9.0,66,0.0
0,976.1,12.4,8.9,61,0.0
0,977.0,12.9,10.7,63,0.0
0,977.0,14.1,11.8,60,0.0
0,976.9,16.2,12.8,54,0.0
0,977.0,17.5,14.7,53,0.0
2,976.8,20.9,18.3,42,0.0
4,977.1,21.1,17.5,39,0.0
8,976.7,20.8,18.1,42,0.0
8,976.9,20.5,17.4,43,0.2
7,976.6,18.5,16.4,58,0.0
7,975.8,19.0,15.6,53,0.0
12,976.6,18.4,16.3,58,0.0
11,976.5,17.3,14.5,61,0.0
12,976.7,16.4,13.2,65,0.0
12,977.3,15.8,14.1,68,0.0
11,977.7,15.6,14.3,67,0.0
10,976.9,15.1,12.9,72,0.0
10,977.6,13.9,12.7,80,0.0
10,976.9,13.5,12.3,81,0.0
10,975.8,14.1,12.9,78,0.0
10,975.3,14.5,11.3,74,0.0
9,974.3,14.0,12.7,78,0.0
9,973.7,15.6,12.0,69,0.0
9,974.6,17.5,15.4,57,0.0
12,974.4,20.2,18.4,49,0.0
11,973.2,22.3,19.4,41,0.0
10,973.4,22.5,20.7,43,0.0
9,972.9,23.8,21.7,39,0.0
10,972.1,24.6,21.5,33,0.0
12,971.7,24.2,20.7,31,0.0
10,970.3,24.0,19.9,33,0.0
10,969.0,22.1,17.3,40,0.0
9,969.7,20.1,17.4,49,0.0
8,971.2,18.0,16.5,53,0.0
6,973.0,13.5,9.7,63,0.2
6,973.0,12.5,10.1,65,0.1
5,973.0,12.1,9.6,65,0.1
5,973.7,11.4,8.7,73,0.1
5,975.3,10.4,8.7,78,0.0
5,976.9,10.1,9.0,79,0.0
5,977.6,9.7,8.6,93,0.0
5,977.8,9.6,8.4,92,0.0
5,978.3,9.1,7.7,91,0.0
3,979.0,8.6,7.4,92,0.0
3,979.0,8.9,8.0,88,0.0
5,980.1,10.0,8.6,80,0.0
6,980.6,12.1,10.5,71,0.0
6,981.7,14.6,11.5,52,0.0
2,982.2,15.4,11.7,41,0.0
4,982.5,16.8,13.9,34,0.0
12,982.0,17.2,13.8,34,0.0
12,982.0,15.9,12.4,56,0.0
7,981.8,16.3,12.0,43,0.0
3,982.5,14.0,9.7,54,0.0
0,982.7,12.1,9.3,62,0.0
0,982.9,13.7,11.6,56,0.0
0,983.4,12.6,10.0,60,0.0
0,983.8,10.6,9.4,85,0.0
3,984.3,9.9,8.8,88,0.0
1,984.6,8.8,7.3,83,0.0
2,985.1,7.7,6.2,89,0.0
2,985.3,7.1,5.6,86,0.0
2,985.3,6.4,5.0,89,0.0
2,985.1,5.8,4.3,90,0.0
2,985.0,5.1,3.3,92,0.0
2,984.9,5.0,3.3,92,0.0
2,985.1,4.0,2.2,95,0.0
0,985.1,3.9,2.1,95,0.0
2,984.7,3.6,1.7,97,0.0
3,984.8,5.1,3.5,89,0.0
3,984.7,7.2,5.5,83,0.0
2,984.7,10.4,9.2,74,0.0
1,984.7,12.7,11.4,72,0.0
12,984.0,14.9,13.8,68,0.0
10,983.0,16.5,14.3,56,0.0
10,983.0,16.5,13.6,48,0.0
10,982.8,16.2,13.0,42,0.0
11,982.4,15.4,12.4,49,0.0
9,982.1,14.6,11.8,50,0.0
