available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
10,970.1,15.6,11.5,43,0.0
8,970.1,15.1,11.7,49,0.0
13,970.3,14.4,11.2,54,0.0
13,970.4,12.1,10.0,67,0.1
12,969.6,12.2,10.0,66,0.1
12,969.2,11.6,9.4,76,0.0
12,969.6,10.6,8.3,83,0.0
12,969.9,9.9,8.4,91,0.4
12,970.3,9.8,8.7,91,0.0
12,972.0,10.0,9.1,89,0.0
12,975.2,9.9,7.6,83,0.0
12,977.4,8.5,5.4,69,0.0
12,977.4,7.4,5.6,78,0.0
12,979.0,6.2,4.6,89,0.0
12,979.4,5.8,4.3,93,0.0
12,979.6,5.7,4.0,93,0.0
12,979.9,5.3,3.5,93,0.0
12,979.9,5.1,3.2,90,0.0
12,980.4,4.9,3.2,90,0.0
11,980.6,5.8,4.2,88,0.0
11,980.5,7.3,5.8,84,0.0
11,980.3,15.2,13.2,66,0.0
10,980.1,18.5,15.9,48,0.0
9,980.0,18.8,16.3,50,0.0
10,979.9,18.7,16.2,53,0.0
7,980.0,18.9,16.5,54,0.0
8,979.6,17.9,15.9,59,0.0
8,979.8,17.8,15.9,58,0.0
7,979.3,17.1,15.2,60,0.0
7,978.6,16.2,13.9,65,0.0
7,978.7,16.2,14.2,59,0.0
4,978.9,16.5,14.5,55,0.0
3,979.3,17.0,13.9,51,0.0
7,980.4,16.8,14.4,51,0.0
5,980.5,14.9,13.6,63,0.0
5,980.8,14.7,13.1,59,0.0
8,980.6,13.1,11.6,65,0.0
12,980.5,11.8,10.3,71,0.0
12,980.4,11.6,10.1,73,0.0
10,980.3,11.4,10.0,75,0.0
10,980.1,11.4,10.0,75,0.0
10,979.9,10.6,9.4,81,0.0
10,979.7,11.1,10.0,79,0.0
10,979.8,12.8,11.7,73,0.0
10,980.0,15.7,15.2,66,0.0
11,979.6,18.5,18.7,58,0.0
12,979.1,21.5,19.3,35,0.0
10,978.8,21.5,19.8,40,0.0
10,977.9,22.1,20.1,40,0.0
11,977.5,22.6,19.6,35,0.0
3,976.7,22.2,19.6,36,0.0
1,976.5,22.1,20.0,39,0.0
2,975.7,21.4,19.4,39,0.0
4,975.6,20.1,18.1,39,0.0
6,976.3,17.7,15.4,43,0.0
6,976.5,17.1,14.9,42,0.0
6,975.9,14.9,13.1,55,0.0
6,976.3,13.8,12.3,62,0.0
4,976.5,13.1,11.6,64,0.0
3,976.4,12.4,11.0,71,0.0
5,975.7,11.9,9.4,67,0.0
5,975.9,11.4,9.5,73,0.0
6,975.9,11.4,9.4,72,0.0
6,975.9,11.6,9.3,69,0.0
6,975.6,11.4,9.1,69,0.0
6,974.9,11.6,8.4,65,0.0
8,975.7,12.9,10.2,62,0.0
9,975.8,13.7,11.9,62,0.0
9,975.6,16.7,13.8,53,0.0
10,975.8,17.9,15.7,52,0.0
11,975.6,21.4,20.1,38,0.0
8,976.0,21.9,18.7,36,0.0
5,975.5,21.0,19.1,41,0.0
5,975.8,20.9,18.0,41,0.1
7,975.3,19.5,17.9,52,0.0
5,974.6,19.5,16.3,50,0.0
6,975.5,18.8,17.0,54,0.0
1,975.3,17.5,15.4,58,0.0
1,975.6,16.5,14.0,64,0.0
0,976.1,15.9,14.8,63,0.0
0,976.6,14.9,14.5,71,0.0
0,975.7,14.9,13.6,71,0.0
0,976.2,13.6,12.6,80,0.0
0,975.7,13.4,12.2,82,0.0
0,974.7,14.4,13.9,71,0.0
0,974.1,14.2,11.7,75,0.0
0,973.0,13.4,11.8,80,0.0
0,972.4,15.4,12.7,70,0.0
10,973.4,17.4,15.0,56,0.0
8,973.1,20.5,18.4,43,0.0
10,971.8,23.5,20.7,32,0.0
11,972.1,23.1,21.5,40,0.0
15,971.6,24.1,22.0,36,0.0
14,971.0,24.9,22.7,33,0.0
7,970.5,24.5,21.2,30,0.0
3,969.1,24.2,20.2,33,0.0
0,967.8,22.3,17.1,39,0.0
3,968.6,20.0,17.5,48,0.0
2,970.0,17.8,15.4,53,0.0
0,971.8,13.3,9.7,65,0.4
0,971.7,12.4,9.8,65,0.1
0,971.9,12.1,9.6,65,0.1
0,972.5,11.4,8.9,72,0.1
0,974.0,10.8,9.2,77,0.0
0,975.7,10.9,9.8,74,0.0
0,976.5,9.8,8.7,88,0.0
0,976.6,9.7,8.6,87,0.0
0,977.1,9.5,8.2,82,0.0
0,977.7,9.2,7.9,80,0.0
0,977.7,9.9,7.6,69,0.0
0,978.8,11.1,9.0,69,0.0
0,979.3,12.4,9.8,65,0.0
9,980.6,14.6,11.2,49,0.0
10,981.1,15.8,12.2,39,0.0
10,981.3,17.1,14.1,31,0.0
10,980.9,17.7,14.2,30,0.0
10,980.7,17.7,14.0,34,0.0
10,980.6,17.0,12.9,36,0.0
12,981.5,13.4,9.4,58,0.0
14,981.6,12.2,9.9,62,0.0
11,981.7,14.1,11.4,51,0.0
11,982.2,12.8,9.9,56,0.0
11,982.6,12.1,10.4,60,0.0
12,983.1,11.5,9.8,63,0.0
8,983.4,10.6,8.6,59,0.0
10,983.8,8.6,7.1,79,0.0
12,984.0,7.3,6.0,96,0.0
12,984.1,6.4,5.2,97,0.0
12,983.9,6.2,4.9,92,0.0
12,983.8,6.1,4.2,81,0.0
12,983.7,6.3,4.4,77,0.0
12,983.9,5.4,3.5,84,0.0
12,983.9,4.8,2.8,84,0.0
11,983.4,4.7,2.9,87,0.0
11,983.6,5.3,3.5,87,0.0
9,983.5,7.1,5.2,77,0.0
10,983.4,10.6,8.9,63,0.0
10,983.5,12.6,10.8,61,0.0
9,982.7,14.9,13.3,57,0.0
7,981.8,16.5,15.1,50,0.0
12,981.9,16.9,13.5,42,0.0
12,981.7,16.2,12.6,42,0.0
12,981.2,15.6,12.3,47,0.0
12,980.9,15.1,12.1,44,0.0
12,980.7,14.6,12.3,49,0.0
13,981.3,13.9,12.2,51,0.0
13,981.7,11.1,9.3,67,0.0
14,982.0,10.3,8.8,70,0.0
14,981.7,11.9,8.8,50,0.0
15,982.5,12.1,8.7,50,0.0
14,983.2,12.4,8.7,49,0.0
14,983.6,13.1,9.2,48,0.0
13,983.9,12.2,9.2,53,0.0
