available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
6,969.0,14.7,9.7,46,0.0
2,969.1,14.1,10.4,53,0.0
0,969.2,13.6,10.0,57,0.0
10,969.4,11.6,9.3,70,0.1
5,968.6,11.6,9.3,71,0.1
4,968.2,11.1,9.2,80,0.0
14,968.5,10.4,8.0,84,0.0
16,968.7,10.0,8.3,87,0.4
16,969.1,10.1,8.4,87,0.0
14,970.7,9.8,8.8,89,0.0
12,974.0,9.7,7.8,86,0.0
12,976.1,8.6,5.3,70,0.0
12,976.2,7.3,5.8,78,0.0
12,977.7,5.8,4.0,89,0.0
12,978.2,5.1,3.4,93,0.0
12,978.3,4.9,3.1,93,0.0
12,978.8,4.7,2.7,92,0.0
12,978.7,5.1,2.7,88,0.0
12,979.1,4.9,2.9,88,0.0
11,979.2,6.3,4.8,87,0.0
13,979.3,9.1,7.2,81,0.0
14,979.3,14.5,11.1,68,0.0
8,979.0,17.5,13.8,52,0.0
0,979.0,17.7,14.7,56,0.0
9,978.9,17.8,14.7,59,0.0
0,978.9,17.9,15.1,60,0.0
11,978.6,16.6,14.4,68,0.0
9,978.7,16.9,14.7,66,0.0
4,978.1,16.3,13.9,68,0.0
12,977.5,15.7,12.4,68,0.0
9,977.5,15.4,12.2,63,0.0
9,977.9,15.6,12.9,60,0.0
6,978.2,16.4,13.2,55,0.0
8,979.2,16.6,13.7,52,0.0
9,979.4,15.3,14.5,61,0.0
6,979.6,14.2,13.3,63,0.0
5,979.4,12.3,11.0,71,0.0
5,979.4,11.6,10.2,74,0.0
6,979.2,11.0,9.6,77,0.0
7,979.1,10.9,9.7,77,0.0
7,978.9,10.9,9.7,77,0.0
6,978.7,10.2,9.1,81,0.0
3,978.5,11.0,10.0,79,0.0
0,978.6,12.4,11.7,77,0.0
1,978.8,16.3,15.5,64,0.0
0,978.5,18.7,17.1,54,0.0
0,978.1,20.2,17.7,42,0.0
0,977.8,20.5,18.6,46,0.0
0,976.9,21.5,19.4,41,0.0
0,976.3,22.3,19.5,36,0.0
2,975.5,21.8,19.1,38,0.0
0,975.3,21.5,19.6,42,0.0
0,974.6,20.7,18.7,42,0.0
0,974.5,19.5,16.7,40,0.0
1,975.0,17.4,15.1,46,0.0
2,975.4,15.8,14.2,54,0.0
3,974.8,14.2,12.5,57,0.0
6,975.2,13.5,11.7,61,0.0
8,975.4,12.8,11.1,65,0.0
10,975.4,13.1,11.3,66,0.0
10,974.5,12.6,9.5,62,0.0
10,974.6,12.6,9.9,65,0.0
10,974.6,12.4,9.7,65,0.0
10,974.7,12.2,9.2,65,0.0
10,974.4,12.0,8.8,66,0.0
10,973.7,12.3,8.7,61,0.0
8,974.6,12.8,10.5,63,0.0
7,974.7,14.0,11.6,60,0.0
7,974.6,16.0,12.6,54,0.0
9,974.7,17.4,14.6,53,0.0
7,974.5,20.8,18.1,42,0.0
7,974.8,21.0,17.3,39,0.0
7,974.4,20.6,18.0,42,0.0
4,974.6,20.4,17.2,43,0.2
4,974.3,18.4,16.2,58,0.0
5,973.5,18.8,15.4,53,0.0
5,974.4,18.2,16.1,58,0.0
2,974.2,17.1,14.3,61,0.0
1,974.4,16.2,13.0,65,0.0
2,975.0,15.6,13.9,68,0.0
4,975.4,15.4,14.1,67,0.0
4,974.6,14.9,12.7,72,0.0
5,975.2,13.7,12.5,80,0.0
5,974.6,13.4,12.1,81,0.0
4,973.5,14.0,12.8,78,0.0
4,973.0,14.4,11.1,74,0.0
4,972.0,13.9,12.5,78,0.0
4,971.4,15.4,11.9,69,0.0
4,972.3,17.4,15.2,57,0.0
4,972.1,20.1,18.3,49,0.0
5,971.0,22.1,19.2,41,0.0
10,971.1,22.4,20.5,43,0.0
8,970.7,23.6,21.5,39,0.0
8,969.9,24.5,21.4,33,0.0
9,969.4,24.0,20.5,31,0.0
10,968.1,23.9,19.8,33,0.0
11,966.8,22.0,17.1,40,0.0
10,967.5,20.0,17.3,49,0.0
15,968.9,17.9,16.3,53,0.0
19,970.6,13.4,9.5,63,0.2
20,970.6,12.4,9.9,65,0.1
20,970.7,12.0,9.4,65,0.1
20,971.4,11.2,8.5,73,0.1
20,972.9,10.3,8.5,78,0.0
20,974.5,10.0,8.9,79,0.0
20,975.3,9.6,8.4,93,0.0
20,975.4,9.4,8.2,92,0.0
20,976.0,8.9,7.6,91,0.0
20,976.6,8.5,7.2,92,0.0
20,976.6,8.8,7.8,88,0.0
20,977.7,9.9,8.4,80,0.0
20,978.2,11.9,10.3,71,0.0
20,979.4,14.4,11.3,52,0.0
20,979.9,15.3,11.5,41,0.0
19,980.2,16.6,13.7,34,0.0
17,979.7,17.0,13.7,34,0.0
4,979.7,15.8,12.3,56,0.0
0,979.5,16.1,11.8,43,0.0
1,980.2,13.9,9.5,54,0.0
13,980.4,12.0,9.1,62,0.0
13,980.5,13.6,11.4,56,0.0
11,981.1,12.4,9.8,60,0.0
8,981.5,10.4,9.2,85,0.0
6,982.0,9.7,8.6,88,0.0
10,982.2,8.6,7.1,83,0.0
10,982.7,7.5,6.0,89,0.0
11,982.9,7.1,5.5,86,0.0
11,982.9,6.2,4.8,89,0.0
11,982.6,5.6,4.1,90,0.0
11,982.6,4.9,3.2,92,0.0
11,982.5,4.9,3.2,92,0.0
10,982.6,3.8,2.0,95,0.0
9,982.7,3.8,1.9,95,0.0
9,982.3,3.5,1.5,97,0.0
11,982.4,5.0,3.3,89,0.0
12,982.3,7.0,5.4,83,0.0
16,982.3,10.3,9.1,74,0.0
16,982.4,12.6,11.2,72,0.0
16,981.6,14.8,13.6,68,0.0
14,980.7,16.4,14.1,56,0.0
11,980.6,16.4,13.5,48,0.0
12,980.5,16.1,12.9,42,0.0
6,980.0,15.2,12.2,49,0.0
13,979.8,14.5,11.7,50,0.0
8,979.6,13.7,11.2,57,0.0
6,980.1,12.6,10.1,58,0.0
10,980.6,10.5,8.4,66,0.0
11,980.9,9.6,7.6,70,0.0
10,980.6,9.6,7.8,66,0.0
10,981.4,10.9,9.0,56,0.0
9,982.1,11.7,9.0,51,0.0
9,982.4,12.9,9.1,48,0.0
6,982.7,12.1,9.0,53,0.0
6,983.3,12.4,9.0,53,0.0
6,983.5,12.1,9.1,55,0.0
6,983.6,10.8,8.9,64,0.0
6,983.9,7.9,6.2,81,0.0
7,983.9,7.8,6.3,82,0.0
9,984.6,8.8,7.4,81,0.0
10,985.0,10.6,9.0,73,0.0
12,985.2,13.8,12.2,65,0.0
7,984.9,15.6,14.0,57,0.0
15,985.2,17.8,16.3,48,0.0
11,985.0,18.9,17.4,44,0.0
0,984.3,19.9,17.5,41,0.0
9,983.9,20.1,17.3,40,0.0
11,983.3,20.4,17.2,41,0.0
6,982.9,19.9,16.8,45,0.0
3,982.5,18.5,16.0,46,0.0
1,982.6,17.6,15.0,45,0.0
3,982.9,15.0,13.4,56,0.0
3,984.8,12.6,11.3,66,0.0
3,985.2,11.6,10.0,68,0.0
3,985.6,11.1,9.7,74,0.0
1,986.4,10.4,9.3,75,0.0
1,987.1,8.9,7.6,82,0.0
1,987.3,8.6,7.4,85,0.0
1,987.5,9.3,8.2,81,0.0
1,988.0,9.1,7.8,81,0.0
2,988.2,7.5,6.2,90,0.0
5,988.6,9.4,8.3,79,0.0
4,988.9,11.4,10.1,72,0.0
1,989.3,16.2,14.5,60,0.0
0,989.4,18.6,15.7,50,0.0
0,989.0,19.5,16.3,42,0.0
1,988.4,21.0,18.3,38,0.0
5,987.6,21.8,18.9,39,0.0
3,987.0,22.5,19.2,39,0.0
11,986.6,22.1,18.7,42,0.0
13,986.1,21.9,18.7,44,0.0
10,986.1,20.4,18.5,50,0.0
12,985.6,18.4,16.6,55,0.0
12,986.0,16.1,15.3,64,0.0
11,986.5,14.9,14.1,68,0.0
9,986.9,14.4,13.4,67,0.0
9,987.1,13.4,12.6,71,0.0
9,987.0,12.7,11.6,73,0.0
8,986.6,12.9,11.9,73,0.0
9,987.3,11.6,10.8,81,0.0
9,987.9,11.1,10.3,82,0.0
9,987.9,10.9,10.1,83,0.0
9,987.8,10.4,9.6,86,0.0
6,987.5,9.9,9.2,89,0.0
4,988.2,11.3,10.7,85,0.0
3,988.6,13.3,12.6,78,0.0
4,988.8,17.1,16.2,64,0.0
2,988.8,19.3,18.9,59,0.0
4,988.6,21.6,21.6,52,0.0
2,988.3,23.5,23.7,47,0.0
1,987.5,25.1,24.4,39,0.0
