available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
6,968.5,14.6,9.6,46,0.0
6,968.5,14.0,10.3,53,0.0
11,968.6,13.6,9.9,57,0.0
11,968.8,11.6,9.2,70,0.1
18,968.0,11.6,9.2,71,0.1
20,967.6,11.1,9.1,80,0.0
20,967.9,10.4,8.0,84,0.0
11,968.1,9.9,8.2,87,0.4
11,968.5,10.1,8.4,87,0.0
11,970.1,9.7,8.8,89,0.0
12,973.4,9.6,7.7,86,0.0
12,975.5,8.5,5.3,70,0.0
13,975.6,7.3,5.7,78,0.0
13,977.1,5.8,4.0,89,0.0
13,977.6,5.1,3.3,93,0.0
13,977.7,4.8,3.0,93,0.0
13,978.2,4.6,2.6,92,0.0
13,978.1,5.0,2.6,88,0.0
12,978.5,4.8,2.9,88,0.0
10,978.7,6.3,4.8,87,0.0
5,978.7,9.1,7.1,81,0.0
15,978.7,14.4,11.1,68,0.0
3,978.5,17.5,13.7,52,0.0
3,978.5,17.6,14.6,56,0.0
7,978.3,17.7,14.6,59,0.0
3,978.3,17.9,15.1,60,0.0
6,978.0,16.6,14.4,68,0.0
9,978.1,16.8,14.7,66,0.0
13,977.6,16.3,13.9,68,0.0
11,976.9,15.6,12.3,68,0.0
10,977.0,15.4,12.2,63,0.0
14,977.3,15.6,12.9,60,0.0
10,977.6,16.3,13.1,55,0.0
9,978.6,16.6,13.6,52,0.0
9,978.8,15.2,14.5,61,0.0
11,979.1,14.1,13.2,63,0.0
12,978.9,12.3,11.0,71,0.0
12,978.8,11.5,10.1,74,0.0
14,978.6,10.9,9.6,77,0.0
8,978.5,10.9,9.6,77,0.0
8,978.3,10.9,9.6,77,0.0
9,978.1,10.2,9.0,81,0.0
8,977.9,10.9,10.0,79,0.0
7,978.0,12.4,11.6,77,0.0
7,978.2,16.2,15.4,64,0.0
4,977.9,18.6,17.0,54,0.0
5,977.5,20.1,17.7,42,0.0
8,977.2,20.4,18.5,46,0.0
12,976.4,21.5,19.4,41,0.0
18,975.8,22.2,19.4,36,0.0
20,974.9,21.7,19.1,38,0.0
20,974.7,21.5,19.5,42,0.0
20,974.1,20.7,18.7,42,0.0
19,973.9,19.4,16.7,40,0.0
17,974.5,17.3,15.0,46,0.0
15,974.8,15.7,14.1,54,0.0
14,974.2,14.2,12.4,57,0.0
15,974.6,13.4,11.6,61,0.0
12,974.8,12.8,11.0,65,0.0
12,974.8,13.0,11.3,66,0.0
12,973.9,12.6,9.4,62,0.0
12,974.0,12.6,9.9,65,0.0
12,974.0,12.4,9.7,65,0.0
12,974.1,12.1,9.1,65,0.0
13,973.8,12.0,8.8,66,0.0
13,973.1,12.2,8.6,61,0.0
11,974.1,12.8,10.5,63,0.0
11,974.1,13.9,11.5,60,0.0
11,974.0,16.0,12.6,54,0.0
10,974.1,17.4,14.5,53,0.0
11,974.0,20.7,18.0,42,0.0
10,974.3,21.0,17.2,39,0.0
11,973.8,20.6,17.9,42,0.0
10,974.0,20.3,17.1,43,0.2
12,973.7,18.3,16.2,58,0.0
5,973.0,18.8,15.3,53,0.0
9,973.8,18.2,16.0,58,0.0
13,973.7,17.1,14.2,61,0.0
14,973.9,16.2,12.9,65,0.0
17,974.4,15.6,13.8,68,0.0
14,974.8,15.4,14.0,67,0.0
16,974.0,14.9,12.7,72,0.0
10,974.6,13.6,12.5,80,0.0
12,974.0,13.3,12.1,81,0.0
11,972.9,13.9,12.7,78,0.0
13,972.4,14.3,11.1,74,0.0
13,971.4,13.8,12.5,78,0.0
13,970.8,15.4,11.8,69,0.0
13,971.8,17.4,15.2,57,0.0
12,971.6,20.1,18.2,49,0.0
13,970.4,22.1,19.2,41,0.0
11,970.5,22.4,20.5,43,0.0
11,970.1,23.6,21.5,39,0.0
11,969.3,24.5,21.4,33,0.0
11,968.9,24.0,20.4,31,0.0
10,967.5,23.8,19.7,33,0.0
8,966.2,22.0,17.1,40,0.0
8,966.9,20.0,17.2,49,0.0
18,968.3,17.9,16.3,53,0.0
20,970.1,13.3,9.4,63,0.2
20,970.0,12.3,9.9,65,0.1
20,970.1,11.9,9.4,65,0.1
19,970.8,11.1,8.5,73,0.1
20,972.3,10.2,8.4,78,0.0
20,973.9,9.9,8.8,79,0.0
20,974.7,9.5,8.3,93,0.0
20,974.8,9.4,8.1,92,0.0
20,975.4,8.9,7.5,91,0.0
19,976.0,8.5,7.2,92,0.0
19,976.0,8.7,7.7,88,0.0
17,977.1,9.9,8.4,80,0.0
11,977.6,11.9,10.3,71,0.0
12,978.8,14.4,11.3,52,0.0
15,979.3,15.2,11.4,41,0.0
17,979.6,16.6,13.7,34,0.0
20,979.1,17.0,13.6,34,0.0
19,979.1,15.8,12.3,56,0.0
17,978.9,16.1,11.7,43,0.0
16,979.6,13.8,9.5,54,0.0
19,979.8,11.9,9.0,62,0.0
19,980.0,13.6,11.4,56,0.0
16,980.5,12.4,9.8,60,0.0
15,980.9,10.4,9.2,85,0.0
17,981.4,9.6,8.6,88,0.0
14,981.6,8.6,7.1,83,0.0
15,982.1,7.4,5.9,89,0.0
14,982.3,7.1,5.5,86,0.0
14,982.3,6.2,4.7,89,0.0
14,982.0,5.6,4.1,90,0.0
14,982.0,4.9,3.2,92,0.0
14,981.9,4.8,3.1,92,0.0
14,982.0,3.8,2.0,95,0.0
13,982.1,3.8,1.9,95,0.0
11,981.7,3.4,1.4,97,0.0
3,981.8,4.9,3.3,89,0.0
3,981.7,6.9,5.3,83,0.0
1,981.7,10.3,9.1,74,0.0
8,981.8,12.5,11.2,72,0.0
8,981.1,14.7,13.5,68,0.0
7,980.1,16.4,14.1,56,0.0
5,980.1,16.4,13.5,48,0.0
2,980.0,16.1,12.9,42,0.0
16,979.5,15.2,12.1,49,0.0
12,979.2,14.4,11.7,50,0.0
6,979.0,13.7,11.2,57,0.0
