available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
9,967.7,15.6,11.6,44,0.0
22,967.8,15.2,12.2,50,0.0
16,968.0,14.4,11.7,55,0.0
16,968.0,12.1,10.3,66,0.2
3,967.3,12.5,10.7,65,0.1
9,966.8,11.9,10.1,75,0.1
12,967.2,11.4,9.4,78,0.0
18,967.4,10.8,9.5,85,0.3
17,968.0,9.7,8.2,91,0.0
21,969.8,9.6,8.6,91,0.0
14,972.8,9.9,8.5,85,0.0
14,975.2,8.3,5.8,70,0.0
9,975.1,7.1,5.0,79,0.0
10,976.6,5.4,3.8,90,0.0
12,977.1,5.0,3.5,94,0.0
13,977.1,4.9,3.3,94,0.0
13,977.6,4.7,2.9,95,0.0
13,977.5,4.1,2.0,94,0.0
12,977.9,3.8,2.0,96,0.0
21,978.2,5.2,3.5,91,0.0
20,978.2,6.9,5.3,85,0.0
14,978.0,16.1,14.9,62,0.0
20,977.8,18.7,16.3,50,0.0
22,977.7,18.5,16.2,52,0.0
22,977.7,18.8,16.6,53,0.0
21,977.7,19.0,16.9,53,0.0
22,977.4,18.2,16.3,56,0.0
6,977.5,17.9,16.5,56,0.0
10,977.0,17.3,15.5,57,0.0
12,976.3,16.3,13.7,63,0.0
20,976.2,16.2,13.6,58,0.0
15,976.4,16.5,13.3,55,0.0
12,977.1,16.9,13.2,52,0.0
11,978.1,16.5,13.9,53,0.0
5,978.2,14.8,13.1,62,0.0
6,978.4,14.9,12.9,57,0.0
0,978.3,12.6,11.2,69,0.0
1,978.1,11.4,9.9,72,0.0
0,978.0,10.3,8.8,80,0.0
8,977.9,9.9,8.4,83,0.0
8,977.7,9.8,8.3,84,0.0
7,977.6,9.2,7.9,86,0.0
10,977.5,10.3,9.3,86,0.0
16,977.5,12.7,11.8,77,0.0
18,977.8,15.6,15.0,68,0.0
22,977.5,17.8,18.0,63,0.0
20,976.9,21.5,19.7,37,0.0
20,976.5,22.0,20.7,39,0.0
19,975.7,22.4,20.6,40,0.0
21,975.3,22.5,19.9,37,0.0
16,974.4,22.0,19.9,38,0.0
15,974.2,22.0,20.3,40,0.0
22,973.6,21.1,19.9,42,0.0
20,973.4,19.6,18.1,41,0.0
22,974.0,17.5,14.9,41,0.0
20,974.2,17.1,14.4,43,0.0
15,973.6,15.4,13.2,47,0.0
11,974.0,14.9,13.1,54,0.0
7,974.3,13.8,11.9,57,0.0
5,974.1,13.2,11.5,61,0.0
13,973.3,11.1,9.3,72,0.0
