available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
15,967.7,14.8,9.1,45,0.0
20,967.9,14.0,10.1,53,0.0
15,968.0,13.5,9.6,59,0.1
17,968.0,11.5,8.9,70,0.1
15,967.3,11.7,9.1,69,0.1
12,967.0,11.2,9.1,78,0.0
9,967.3,10.3,7.6,84,0.0
11,967.5,9.8,7.9,90,0.4
12,968.0,9.4,7.8,91,0.0
12,969.7,9.6,8.6,90,0.0
12,972.8,9.1,7.8,92,0.0
12,975.1,8.4,5.2,69,0.0
12,975.1,7.1,4.9,76,0.0
10,976.6,5.8,4.0,91,0.0
10,977.1,5.6,3.7,92,0.0
10,977.2,5.3,3.5,92,0.0
10,977.6,4.9,2.8,92,0.0
9,977.5,4.8,2.3,91,0.0
10,977.8,4.1,2.0,95,0.0
16,978.1,6.3,4.7,89,0.0
18,978.1,8.9,6.7,83,0.0
17,978.2,15.6,12.5,63,0.0
7,978.0,18.0,14.8,51,0.0
11,978.0,18.0,15.0,54,0.0
15,977.8,17.8,14.9,58,0.0
20,977.9,18.0,15.4,58,0.0
20,977.4,16.9,14.9,66,0.0
20,977.7,17.0,15.1,64,0.0
16,977.1,16.5,13.8,65,0.0
12,976.3,15.7,11.4,68,0.0
14,976.1,15.5,10.7,62,0.0
17,976.3,15.7,10.4,59,0.0
20,977.0,16.4,11.5,55,0.0
14,978.1,16.7,13.2,52,0.0
16,978.3,16.7,14.8,52,0.0
16,978.5,16.1,14.3,51,0.0
15,978.3,11.8,10.4,74,0.0
14,978.1,10.8,9.4,78,0.0
14,977.9,10.4,9.3,81,0.0
14,977.7,10.4,9.2,81,0.0
14,977.5,9.8,8.7,84,0.0
15,977.7,7.8,6.7,99,0.0
15,977.4,9.4,8.2,90,0.0
15,977.5,11.1,10.3,86,0.0
16,977.8,16.3,15.7,65,0.0
16,977.5,19.7,17.5,43,0.0
18,977.2,20.5,18.2,40,0.0
16,976.8,20.9,19.2,44,0.0
17,976.0,21.9,19.6,40,0.0
16,975.3,22.5,19.1,35,0.0
11,974.5,22.3,19.3,36,0.0
10,974.1,22.0,19.6,40,0.0
13,973.5,20.9,19.0,41,0.0
11,973.5,19.6,17.4,40,0.0
11,974.2,16.6,14.5,49,0.0
11,974.4,15.8,14.1,53,0.0
12,973.8,14.1,12.4,60,0.0
13,974.2,13.1,11.3,64,0.0
16,974.3,12.4,10.6,65,0.0
17,974.3,12.1,10.4,70,0.0
15,973.6,11.6,8.6,67,0.0
14,973.5,11.1,8.6,73,0.0
14,973.6,11.3,8.8,71,0.0
15,973.8,11.6,8.8,67,0.0
15,973.5,11.6,8.6,68,0.0
15,972.9,11.6,8.1,63,0.0
14,973.3,12.0,9.6,67,0.0
14,973.4,14.1,12.1,62,0.0
14,973.6,16.3,13.4,55,0.0
14,973.7,17.9,15.2,52,0.0
14,973.6,21.2,18.8,40,0.0
16,974.0,21.2,18.1,39,0.0
18,973.3,21.5,18.4,40,0.0
17,973.4,20.9,17.2,41,0.3
18,973.2,18.7,16.1,55,0.0
19,972.6,19.0,15.8,53,0.0
19,973.3,18.2,16.6,58,0.0
20,973.3,17.1,14.5,60,0.0
19,973.6,16.0,13.2,67,0.0
19,974.0,15.8,13.3,65,0.0
19,974.4,15.8,13.7,64,0.0
20,973.7,14.9,12.4,71,0.0
19,974.0,14.1,12.8,77,0.0
19,973.4,14.1,13.2,77,0.0
19,972.7,14.2,11.4,76,0.0
19,972.3,13.9,11.2,76,0.0
18,970.9,13.4,11.0,80,0.0
18,970.4,15.2,12.5,69,0.0
18,971.2,17.0,14.7,59,0.0
18,971.0,21.6,19.4,35,0.0
17,969.8,22.6,19.7,37,0.0
16,969.9,22.6,20.7,42,0.0
14,969.5,23.6,21.4,39,0.0
13,968.8,24.9,22.1,33,0.0
13,968.2,24.0,20.2,31,0.0
17,966.9,23.8,19.2,35,0.0
14,965.7,21.8,16.3,41,0.0
18,966.3,19.9,17.2,50,0.0
18,967.7,17.5,15.4,53,0.0
19,969.4,13.4,9.8,63,0.3
19,969.4,12.6,10.9,64,0.1
20,969.6,12.1,9.9,66,0.1
20,970.4,11.5,9.1,74,0.0
20,971.8,10.5,9.0,79,0.0
20,973.5,10.2,9.2,82,0.0
20,974.2,9.5,8.4,92,0.0
20,974.4,9.4,8.1,90,0.0
20,974.9,8.8,7.5,87,0.0
20,975.5,8.4,7.2,87,0.0
19,975.5,9.7,7.4,65,0.0
20,976.7,10.9,9.2,70,0.0
10,977.1,12.2,10.4,66,0.0
15,978.4,14.6,11.8,52,0.0
17,978.9,15.6,12.1,40,0.0
17,979.2,16.9,14.0,34,0.0
19,978.6,17.2,13.7,29,0.0
17,978.8,15.3,12.6,64,0.0
10,978.6,15.7,12.0,45,0.0
19,978.8,15.1,11.9,43,0.0
16,979.3,12.2,9.5,60,0.0
19,979.5,13.4,11.0,58,0.0
20,979.9,12.2,9.7,59,0.0
20,980.4,10.2,9.3,86,0.0
16,980.8,9.9,8.4,73,0.0
16,981.1,8.4,6.7,77,0.0
14,981.5,7.0,5.4,89,0.0
13,981.7,7.0,5.4,86,0.0
13,981.8,5.9,4.5,89,0.0
13,981.6,6.4,4.4,73,0.0
13,981.4,5.2,3.4,81,0.0
12,981.3,5.2,3.3,80,0.0
9,981.5,4.8,2.6,78,0.0
9,981.5,4.4,2.5,82,0.0
7,981.2,4.1,1.6,84,0.0
