available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
15,969.9,15.6,11.4,43,0.0
17,969.9,15.0,11.6,49,0.0
12,970.0,14.4,11.1,54,0.0
12,970.2,12.1,9.9,67,0.1
12,969.4,12.2,10.0,66,0.1
10,968.9,11.6,9.4,76,0.0
9,969.3,10.6,8.2,83,0.0
7,969.6,9.9,8.4,91,0.4
5,970.1,9.8,8.6,91,0.0
5,971.8,9.9,9.1,89,0.0
4,975.0,9.9,7.5,83,0.0
4,977.1,8.4,5.3,69,0.0
4,977.1,7.3,5.5,78,0.0
4,978.7,6.2,4.6,89,0.0
4,979.2,5.8,4.3,93,0.0
4,979.3,5.7,4.0,93,0.0
4,979.7,5.2,3.4,93,0.0
4,979.7,5.1,3.1,90,0.0
3,980.1,4.8,3.2,90,0.0
4,980.3,5.8,4.2,88,0.0
4,980.3,7.2,5.8,84,0.0
9,980.1,15.2,13.1,66,0.0
13,979.9,18.5,15.8,48,0.0
9,979.8,18.7,16.2,50,0.0
7,979.7,18.7,16.2,53,0.0
7,979.8,18.8,16.4,54,0.0
7,979.4,17.8,15.8,59,0.0
10,979.6,17.7,15.9,58,0.0
9,979.0,17.1,15.1,60,0.0
11,978.4,16.2,13.9,65,0.0
11,978.5,16.2,14.2,59,0.0
9,978.7,16.5,14.4,55,0.0
9,979.1,16.9,13.9,51,0.0
9,980.2,16.7,14.4,51,0.0
9,980.2,14.8,13.5,63,0.0
9,980.5,14.6,13.1,59,0.0
9,980.4,13.1,11.6,65,0.0
11,980.3,11.8,10.2,71,0.0
5,980.2,11.6,10.1,73,0.0
5,980.1,11.4,10.0,75,0.0
5,979.9,11.4,10.0,75,0.0
5,979.7,10.6,9.3,81,0.0
4,979.5,11.1,10.0,79,0.0
4,979.5,12.7,11.6,73,0.0
4,979.8,15.7,15.2,66,0.0
2,979.4,18.5,18.6,58,0.0
1,978.9,21.5,19.3,35,0.0
2,978.6,21.5,19.8,40,0.0
6,977.7,22.1,20.1,40,0.0
5,977.3,22.5,19.6,35,0.0
3,976.4,22.1,19.5,36,0.0
1,976.2,22.1,20.0,39,0.0
2,975.5,21.3,19.4,39,0.0
2,975.4,20.1,18.1,39,0.0
1,976.1,17.6,15.3,43,0.0
1,976.3,17.0,14.8,42,0.0
1,975.7,14.8,13.1,55,0.0
1,976.1,13.8,12.2,62,0.0
1,976.3,13.0,11.6,64,0.0
0,976.2,12.4,11.0,71,0.0
0,975.5,11.8,9.3,67,0.0
0,975.6,11.4,9.5,73,0.0
0,975.7,11.4,9.4,72,0.0
0,975.6,11.5,9.2,69,0.0
0,975.3,11.4,9.1,69,0.0
0,974.7,11.5,8.3,65,0.0
0,975.5,12.9,10.2,62,0.0
0,975.6,13.6,11.8,62,0.0
0,975.4,16.7,13.8,53,0.0
0,975.6,17.9,15.6,52,0.0
0,975.4,21.3,20.0,38,0.0
1,975.7,21.9,18.6,36,0.0
0,975.3,21.0,19.1,41,0.0
1,975.5,20.9,17.9,41,0.1
4,975.1,19.5,17.8,52,0.0
2,974.4,19.4,16.2,50,0.0
6,975.2,18.8,16.9,54,0.0
4,975.1,17.5,15.3,58,0.0
2,975.4,16.4,14.0,64,0.0
1,975.9,15.9,14.7,63,0.0
1,976.4,14.9,14.4,71,0.0
1,975.5,14.8,13.6,71,0.0
1,975.9,13.6,12.5,80,0.0
1,975.4,13.3,12.1,82,0.0
1,974.5,14.4,13.9,71,0.0
1,973.9,14.1,11.7,75,0.0
1,972.7,13.4,11.8,80,0.0
1,972.2,15.3,12.6,70,0.0
11,973.1,17.4,14.9,56,0.0
9,972.9,20.5,18.4,43,0.0
7,971.6,23.5,20.7,32,0.0
6,971.9,23.0,21.5,40,0.0
2,971.4,24.0,21.9,36,0.0
0,970.8,24.9,22.7,33,0.0
10,970.3,24.5,21.1,30,0.0
5,968.9,24.2,20.1,33,0.0
4,967.6,22.2,17.0,39,0.0
0,968.4,20.0,17.5,48,0.0
2,969.6,18.5,16.5,52,0.0
1,971.6,13.2,9.7,65,0.4
1,971.5,12.4,9.7,65,0.1
1,971.6,12.1,9.6,65,0.1
1,972.2,11.4,8.9,72,0.1
1,973.8,10.7,9.1,77,0.0
0,975.5,10.9,9.8,74,0.0
0,976.2,9.8,8.7,88,0.0
0,976.4,9.7,8.6,87,0.0
0,976.9,9.5,8.2,82,0.0
0,977.5,9.2,7.9,80,0.0
0,977.5,9.9,7.6,69,0.0
0,978.6,11.1,9.0,69,0.0
0,979.0,12.4,9.8,65,0.0
11,980.3,14.6,11.1,49,0.0
11,980.8,15.7,12.2,39,0.0
12,981.1,17.1,14.1,31,0.0
8,980.6,17.6,14.2,30,0.0
8,980.4,17.6,14.0,34,0.0
5,980.4,17.0,12.8,36,0.0
5,981.3,13.4,9.3,58,0.0
6,981.3,12.1,9.8,62,0.0
6,981.4,14.1,11.4,51,0.0
4,982.0,12.8,9.9,56,0.0
4,982.4,12.0,10.4,60,0.0
2,982.9,11.4,9.8,63,0.0
1,983.2,10.5,8.5,59,0.0
1,983.5,8.6,7.1,79,0.0
3,983.8,7.2,6.0,96,0.0
3,983.9,6.4,5.1,97,0.0
