available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
16,969.2,14.7,9.7,46,0.0
11,969.2,14.1,10.4,53,0.0
11,969.3,13.6,10.0,57,0.0
5,969.5,11.6,9.3,70,0.1
14,968.7,11.6,9.3,71,0.1
16,968.3,11.1,9.2,80,0.0
15,968.6,10.4,8.0,84,0.0
11,968.8,10.0,8.3,87,0.4
11,969.2,10.1,8.4,87,0.0
11,970.8,9.8,8.8,89,0.0
7,974.1,9.7,7.8,86,0.0
8,976.2,8.6,5.3,70,0.0
7,976.3,7.3,5.8,78,0.0
7,977.9,5.8,4.0,89,0.0
7,978.4,5.1,3.4,93,0.0
7,978.4,4.9,3.1,93,0.0
7,978.9,4.7,2.7,92,0.0
7,978.8,5.1,2.7,88,0.0
7,979.2,4.9,2.9,88,0.0
14,979.4,6.3,4.8,87,0.0
19,979.4,9.1,7.2,81,0.0
18,979.4,14.5,11.1,68,0.0
20,979.1,17.5,13.8,52,0.0
12,979.2,17.7,14.7,56,0.0
8,979.0,17.8,14.7,59,0.0
0,979.0,17.9,15.1,60,0.0
7,978.7,16.6,14.4,68,0.0
9,978.8,16.9,14.7,66,0.0
0,978.2,16.4,13.9,68,0.0
10,977.6,15.7,12.4,68,0.0
7,977.7,15.4,12.2,63,0.0
7,978.0,15.6,12.9,60,0.0
4,978.3,16.4,13.2,55,0.0
4,979.3,16.6,13.7,52,0.0
2,979.5,15.3,14.5,61,0.0
2,979.8,14.2,13.3,63,0.0
4,979.6,12.4,11.1,71,0.0
3,979.5,11.6,10.2,74,0.0
2,979.3,11.0,9.6,77,0.0
1,979.2,10.9,9.7,77,0.0
1,979.0,10.9,9.7,77,0.0
1,978.8,10.2,9.1,81,0.0
1,978.6,11.0,10.0,79,0.0
2,978.7,12.4,11.7,77,0.0
0,978.9,16.3,15.5,64,0.0
0,978.6,18.7,17.1,54,0.0
2,978.2,20.2,17.7,42,0.0
0,977.9,20.5,18.6,46,0.0
6,977.0,21.5,19.4,41,0.0
4,976.4,22.3,19.5,36,0.0
5,975.6,21.8,19.1,38,0.0
5,975.4,21.5,19.6,42,0.0
1,974.7,20.7,18.7,42,0.0
2,974.6,19.5,16.7,40,0.0
3,975.2,17.4,15.1,46,0.0
3,975.5,15.8,14.2,54,0.0
3,974.9,14.2,12.5,57,0.0
6,975.3,13.5,11.7,61,0.0
7,975.5,12.8,11.1,65,0.0
7,975.5,13.1,11.3,66,0.0
7,974.7,12.6,9.5,62,0.0
6,974.7,12.6,9.9,65,0.0
5,974.7,12.4,9.7,65,0.0
5,974.8,12.2,9.2,65,0.0
4,974.5,12.0,8.8,66,0.0
6,973.8,12.3,8.7,61,0.0
3,974.8,12.8,10.5,63,0.0
1,974.8,14.0,11.6,60,0.0
0,974.7,16.0,12.6,54,0.0
0,974.8,17.4,14.6,53,0.0
0,974.6,20.8,18.1,42,0.0
1,975.0,21.0,17.3,39,0.0
0,974.5,20.6,18.0,42,0.0
1,974.6,20.7,17.5,42,0.0
3,974.4,18.4,16.2,58,0.0
6,973.7,18.8,15.4,53,0.0
13,974.5,18.2,16.1,58,0.0
14,974.4,17.1,14.3,61,0.0
14,974.6,16.2,13.0,65,0.0
18,975.1,15.6,13.9,68,0.0
19,975.5,15.4,14.1,67,0.0
19,974.7,14.9,12.7,72,0.0
15,975.3,13.7,12.5,80,0.0
15,974.7,13.4,12.1,81,0.0
15,973.6,14.0,12.8,78,0.0
15,973.1,14.4,11.1,74,0.0
15,972.1,13.9,12.5,78,0.0
15,971.5,15.4,11.9,69,0.0
16,972.4,17.4,15.2,57,0.0
16,972.2,20.1,18.3,49,0.0
15,971.1,22.1,19.2,41,0.0
15,971.2,22.4,20.5,43,0.0
14,970.8,23.6,21.5,39,0.0
16,970.0,24.5,21.4,33,0.0
19,969.5,24.0,20.5,31,0.0
19,968.2,23.9,19.8,33,0.0
14,966.9,22.0,17.1,40,0.0
19,967.6,20.0,17.3,49,0.0
18,968.8,18.7,17.7,52,0.0
