,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,available_bike_stands,date
0,6.480165622130866,250.75215081938774,16.829865916338345,9.60956016426374,0.337211719774649,0.0,4.7165422433520663e+129,7.25,2023-06-25 19:00:00
1,6.24033894013294,305.1164982039399,17.281953188129204,9.272806374362048,0.2248078131830993,0.0,4.716519408362213e+129,8.5,2023-06-25 20:00:00
2,5.944690998951636,380.1386764323964,18.290300493789527,8.839876100018449,0.0,0.0,4.7376760704577867e+129,4.333333333333333,2023-06-25 21:00:00
3,5.669519134992769,477.4260851340429,19.32817529795841,8.34617932240918,0.0,0.0,4.83392864710942e+129,0.5,2023-06-25 22:00:00
4,5.44752146630026,571.1036290838092,20.570736599168953,7.985363751596172,0.0,0.0,4.887633252885882e+129,0.16666666666666666,2023-06-25 23:00:00
5,5.376350052016644,571.1036290838092,19.73852592946064,7.775340126811904,0.0,0.0,4.8767513804578896e+129,0.0,2023-06-26 00:00:00
6,5.31333009985496,571.1036290838092,19.00951038441203,7.579963889794551,0.0,0.0,4.855129185587407e+129,0.5,2023-06-26 01:00:00
7,5.2025107116568,596.165175625412,18.701380075352798,7.380498992786987,0.0,0.0,4.8442945632877065e+129,1.6666666666666667,2023-06-26 02:00:00
8,5.1194506386671605,608.7954229676578,18.29005464163386,7.247215738642467,0.0032880217789473623,0.0,4.812212152381727e+129,2.1666666666666665,2023-06-26 03:00:00
9,5.0882890387482105,634.6441318080845,18.701380075352798,7.213409201740352,0.0,0.0,4.7167940138387607e+129,5.666666666666667,2023-06-26 04:00:00
10,5.091054570193369,660.4928406485111,19.423726510200535,7.246968900563978,0.0,0.0,4.6435449352476926e+129,11.833333333333334,2023-06-26 05:00:00
11,5.31865741964685,634.6441318080845,21.10662406110665,7.753711717136606,0.0,0.0,4.65396322549482e+129,15.833333333333334,2023-06-26 06:00:00
12,5.7356578925036175,541.8245414605112,22.692927352595998,8.561484777149728,0.0,0.0,4.706055641990314e+129,20.166666666666668,2023-06-26 07:00:00
13,6.102555566411426,452.05292855110497,23.664661488333916,9.256849049440179,0.0,0.0,4.812771985013846e+129,21.5,2023-06-26 08:00:00
14,6.347459258439993,399.00218016885026,24.161292558051095,9.795294286201553,0.0,0.0,4.8985151253138757e+129,21.2,2023-06-26 09:00:00
15,6.5925830601205355,338.2632300023444,24.096123476973915,10.53646647073286,0.23710162710711066,0.0,4.8445762646087364e+129,18.833333333333332,2023-06-26 10:00:00
16,6.693701343981904,322.8993053058312,24.4219688823598,10.9351608204546,0.0,0.0,4.790637403903597e+129,16.5,2023-06-26 11:00:00
22,6.916957402519977,210.7055047728299,19.112705509071738,10.416565460811894,0.0,0.0,4.362352639994664e+129,1.0,2023-06-26 17:00:00
23,6.86831114487823,219.43607240547325,19.112705509071738,10.319209299182152,0.0,0.0,4.342962159234048e+129,3.0833333333333335,2023-06-26 18:00:00
24,6.743308204624835,248.0405553795383,19.679488668952615,10.175990764893525,0.0,0.0,4.334125231131424e+129,6.454545454545454,2023-06-26 19:00:00
25,6.5144840980647505,314.34983198927455,21.208270820277903,9.996215099986369,0.0,0.0,4.372196656762184e+129,2.625,2023-06-26 20:00:00
26,6.188405028214305,419.475586217262,23.125908562006924,9.608696469935017,0.0,0.0,4.401473455177951e+129,0.16666666666666666,2023-06-26 21:00:00
27,5.7581562907241945,580.8875905665444,24.422811891403345,8.848065192224619,0.10651480433462612,0.0,4.352890597894894e+129,0.0,2023-06-26 22:00:00
28,5.420698263866406,693.600321904868,24.314409201041673,8.22316398569696,0.10890799530303476,0.0,4.2947177135512364e+129,0.0,2023-06-26 23:00:00
29,5.4030841743884785,673.8509302979592,23.446357142091315,8.144589816467024,0.0,0.0,4.285127686490636e+129,0.0,2023-06-27 00:00:00
30,5.494455872464176,664.9137565699286,24.279838957861745,8.301838243958708,0.0,0.0,4.285127686490636e+129,0.0,2023-06-27 01:00:00
31,5.516904203071701,680.290393525832,24.967996825538787,8.36463377339759,0.6493016985427941,0.0,4.2947177135512364e+129,0.0,2023-06-27 02:00:00
32,5.499114965986913,693.600321904868,25.187117595983267,8.349014648469204,1.4525344159824953,0.0,4.285169449969359e+129,0.0,2023-06-27 03:00:00
33,5.569153513945289,647.2135797450819,24.504562991607962,8.361765413763258,1.664241877079018,0.0,4.2231938340944874e+129,5.363636363636363,2023-06-27 04:00:00
34,5.650019445601112,622.1596443926404,24.583903754300618,8.435732640578433,1.844505418310819,0.0004186406597784337,4.2040299409595773e+129,17.142857142857142,2023-06-27 05:00:00
35,5.810439350333066,691.4058370439878,29.106149419251338,9.0518933520027,2.059764658227767,0.0065775514454883355,4.2980537202550184e+129,20.555555555555557,2023-06-27 06:00:00
36,6.010457835838454,645.3889028325995,30.269498064484697,9.542911491724176,2.1296749278982188,0.00038770956015396864,4.3120133157564756e+129,20.3,2023-06-27 07:00:00
37,6.201199804572038,580.9492601436548,30.63088675438551,9.935479502476134,2.155477459223048,0.0,4.43586725302139e+129,19.11111111111111,2023-06-27 08:00:00
38,6.17017350301993,587.2637772951481,30.412560719285633,9.851906395179691,2.158086232598164,0.03161201654245902,4.5689162787704684e+129,20.272727272727273,2023-06-27 09:00:00
39,5.889706918155058,672.7724477208592,29.540528980220465,9.163070065551464,2.1612128777669732,0.06798949770878014,4.5909020796711263e+129,20.0,2023-06-27 10:00:00
40,5.830614875820773,690.9149857334535,29.443294950337815,9.065360040729711,2.1636140323707878,0.03884897360802218,4.5993910685686824e+129,20.0,2023-06-27 11:00:00
