available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
1,968.9,15.6,11.4,43,0.0
15,969.0,14.9,11.5,49,0.0
16,969.1,14.3,11.1,54,0.0
16,969.2,12.1,9.9,67,0.1
19,968.5,12.1,9.9,66,0.1
20,968.0,11.5,9.4,76,0.0
11,968.4,10.6,8.2,83,0.0
8,968.7,9.8,8.3,91,0.4
3,969.2,9.7,8.6,91,0.0
6,970.8,9.9,9.0,89,0.0
10,974.0,9.8,7.5,83,0.0
13,976.2,8.4,5.3,69,0.0
14,976.2,7.3,5.4,78,0.0
15,977.8,6.1,4.5,89,0.0
15,978.2,5.8,4.2,93,0.0
16,978.4,5.6,3.9,93,0.0
16,978.7,5.2,3.4,93,0.0
16,978.7,5.0,3.1,90,0.0
18,979.2,4.8,3.1,90,0.0
7,979.4,5.8,4.1,88,0.0
13,979.3,7.2,5.7,84,0.0
7,979.2,15.1,13.0,66,0.0
9,978.9,18.5,15.7,48,0.0
7,978.9,18.6,16.1,50,0.0
1,978.8,18.6,16.1,53,0.0
5,978.9,18.8,16.3,54,0.0
13,978.5,17.8,15.8,59,0.0
11,978.7,17.6,15.8,58,0.0
20,978.1,17.0,15.1,60,0.0
18,977.4,16.1,13.8,65,0.0
10,977.5,16.1,14.1,59,0.0
5,977.8,16.5,14.3,55,0.0
3,978.2,16.9,13.8,51,0.0
8,979.2,16.6,14.3,51,0.0
4,979.3,14.8,13.5,63,0.0
10,979.6,14.6,13.0,59,0.0
16,979.4,13.1,11.5,65,0.0
20,979.4,11.7,10.2,71,0.0
20,979.3,11.6,10.0,73,0.0
20,979.1,11.4,10.0,75,0.0
20,978.9,11.3,9.9,75,0.0
20,978.8,10.6,9.3,81,0.0
14,978.5,11.1,10.0,79,0.0
18,978.6,12.6,11.6,73,0.0
18,978.8,15.6,15.2,66,0.0
18,978.4,18.4,18.6,58,0.0
16,978.0,21.4,19.2,35,0.0
19,977.7,21.5,19.7,40,0.0
11,976.8,22.1,20.0,40,0.0
14,976.4,22.5,19.5,35,0.0
15,975.5,22.1,19.5,36,0.0
16,975.3,22.0,19.9,39,0.0
18,974.6,21.2,19.3,39,0.0
14,974.5,20.0,18.0,39,0.0
18,975.2,17.6,15.3,43,0.0
6,975.4,17.0,14.8,42,0.0
9,974.8,14.8,13.0,55,0.0
3,975.1,13.7,12.2,62,0.0
8,975.3,12.9,11.5,64,0.0
10,975.3,12.3,10.9,71,0.0
12,974.5,11.8,9.3,67,0.0
18,974.7,11.4,9.5,73,0.0
19,974.8,11.4,9.3,72,0.0
