date,temperature,relative_humidity,apparent_temperature,precipitation,rain,surface_pressure
2024-03-28 13:13:40,14.2,54,11.0,0.0,0.0,967.9
2024-03-28 13:13:40,13.6,57,10.0,0.0,0.0,969.2
2024-03-28 13:13:40,14.4,54,11.2,0.0,0.0,970.3
2024-03-28 13:13:40,13.5,59,9.6,0.1,0.0,968.0
2024-03-28 13:13:40,13.7,60,11.1,0.0,0.0,967.6
2024-03-28 13:13:40,13.5,59,9.6,0.1,0.0,968.2
2024-03-28 13:13:40,13.8,57,10.2,0.0,0.0,971.5
2024-03-28 13:13:40,14.4,55,11.7,0.0,0.0,968.1
2024-03-28 13:13:40,13.6,57,9.9,0.0,0.0,968.6
2024-03-28 14:13:54,11.5,70,8.9,0.1,0.0,967.5
2024-03-28 14:13:54,12.1,67,9.9,0.1,0.0,969.2
2024-03-28 14:13:54,12.1,67,9.9,0.1,0.0,968.7
2024-03-28 14:13:54,11.6,70,9.3,0.1,0.0,969.5
2024-03-28 14:13:54,11.8,70,9.4,0.1,0.0,970.8
2024-03-28 14:13:54,12.1,67,9.9,0.1,0.0,969.0
2024-03-28 14:13:54,12.1,66,10.3,0.2,0.0,968.0
2024-03-28 14:13:54,12.1,67,9.9,0.1,0.0,969.0
2024-03-28 14:13:54,12.0,67,9.8,0.1,0.0,968.3
2024-03-28 14:13:54,12.0,67,9.8,0.1,0.0,968.2
2024-03-28 14:13:54,12.1,67,9.9,0.1,0.0,969.0
2024-03-28 14:13:54,11.5,70,8.9,0.1,0.0,967.9
2024-03-28 14:13:54,12.0,67,9.8,0.1,0.0,968.2
2024-03-28 14:13:54,11.6,70,9.2,0.1,0.0,968.7
2024-03-28 14:13:54,11.5,70,8.9,0.1,0.0,968.0
2024-03-28 14:13:54,12.1,66,10.3,0.2,0.0,967.7
2024-03-28 14:13:54,12.1,67,9.9,0.1,0.0,970.2
2024-03-28 14:13:54,11.6,70,9.2,0.1,0.0,968.3
2024-03-28 14:13:54,11.6,70,9.2,0.1,0.0,968.8
2024-03-28 14:13:54,12.0,67,9.8,0.1,0.0,968.4
2024-03-28 14:13:54,12.0,67,9.8,0.1,0.0,968.1
2024-03-28 14:13:54,11.6,70,9.3,0.1,0.0,969.4
2024-03-28 14:13:54,12.1,67,10.0,0.1,0.0,970.4
2024-03-28 14:13:54,11.5,70,8.9,0.1,0.0,968.0
2024-03-28 14:13:54,11.6,68,9.9,0.2,0.0,967.6
2024-03-28 14:13:54,11.5,70,8.9,0.1,0.0,968.3
2024-03-28 14:13:54,11.8,70,9.5,0.1,0.0,971.7
2024-03-28 14:13:54,12.1,66,10.3,0.2,0.0,968.1
2024-03-28 14:13:54,11.6,70,9.2,0.1,0.0,968.8
2024-03-28 15:13:36,11.7,69,9.1,0.1,0.1,966.7
2024-03-28 15:13:36,12.1,66,9.9,0.1,0.0,968.5
2024-03-28 15:13:36,12.1,66,9.9,0.1,0.0,967.9
2024-03-28 15:13:36,11.6,71,9.3,0.1,0.1,968.7
2024-03-28 15:13:36,11.8,71,9.4,0.1,0.1,970.0
2024-03-28 15:13:36,12.1,66,9.9,0.1,0.0,968.2
2024-03-28 15:13:36,12.5,65,10.7,0.1,0.0,967.3
2024-03-28 15:13:36,12.1,66,9.9,0.1,0.0,968.2
2024-03-28 15:13:36,12.1,66,9.9,0.1,0.0,967.5
2024-03-28 15:13:36,12.1,66,9.9,0.1,0.0,967.4
2024-03-28 15:13:36,12.1,66,9.9,0.1,0.0,968.2
2024-03-28 15:13:36,11.7,69,9.1,0.1,0.1,967.2
2024-03-28 15:13:36,12.1,66,9.9,0.1,0.0,967.4
2024-03-28 15:13:36,11.6,71,9.2,0.1,0.1,967.9
2024-03-28 15:13:36,11.7,69,9.1,0.1,0.1,967.3
2024-03-28 15:13:36,12.5,65,10.7,0.1,0.0,966.9
2024-03-28 15:13:36,12.2,66,10.0,0.1,0.0,969.4
2024-03-28 15:13:36,11.6,71,9.2,0.1,0.1,967.6
2024-03-28 15:13:36,11.6,71,9.2,0.1,0.1,968.0
2024-03-28 15:13:36,12.1,66,9.9,0.1,0.0,967.7
2024-03-28 15:13:36,12.1,66,9.9,0.1,0.0,967.3
2024-03-28 15:13:36,11.6,71,9.3,0.1,0.1,968.6
2024-03-28 15:13:36,12.2,66,10.0,0.1,0.0,969.6
2024-03-28 15:13:36,11.7,69,9.1,0.1,0.1,967.3
2024-03-28 15:13:36,12.1,67,10.5,0.1,0.1,966.9
2024-03-28 15:13:36,11.7,69,9.1,0.1,0.1,967.5
2024-03-28 15:13:36,11.8,71,9.4,0.1,0.1,970.9
2024-03-28 15:13:36,12.5,65,10.7,0.1,0.0,967.4
2024-03-28 15:13:36,11.6,71,9.2,0.1,0.1,968.0
2024-03-28 16:15:09,11.2,78,9.1,0.0,0.1,966.4
2024-03-28 16:15:09,11.5,76,9.4,0.0,0.1,968.0
2024-03-28 16:15:09,11.4,76,9.3,0.0,0.1,967.4
2024-03-28 16:15:09,11.1,80,9.2,0.0,0.1,968.3
2024-03-28 16:15:09,11.1,80,9.2,0.0,0.1,969.6
2024-03-28 16:15:09,11.4,76,9.3,0.0,0.1,967.8
2024-03-28 16:15:09,11.9,75,10.1,0.1,0.1,966.8
2024-03-28 16:15:09,11.4,76,9.3,0.0,0.1,967.8
2024-03-28 16:15:09,11.4,76,9.3,0.0,0.1,967.1
2024-03-28 16:15:09,11.4,76,9.3,0.0,0.1,967.0
2024-03-28 16:15:09,11.4,76,9.3,0.0,0.1,967.8
2024-03-28 16:15:09,11.2,78,9.1,0.0,0.1,966.8
2024-03-28 16:15:09,11.4,76,9.3,0.0,0.1,967.0
2024-03-28 16:15:09,11.1,80,9.1,0.0,0.1,967.5
2024-03-28 16:15:09,11.2,78,9.1,0.0,0.1,967.0
2024-03-28 16:15:09,11.9,75,10.1,0.1,0.1,966.5
2024-03-28 16:15:09,11.6,76,9.4,0.0,0.1,968.9
2024-03-28 16:15:09,11.1,80,9.1,0.0,0.1,967.1
2024-03-28 16:15:09,11.1,80,9.1,0.0,0.1,967.6
2024-03-28 16:15:09,11.4,76,9.3,0.0,0.1,967.2
2024-03-28 16:15:09,11.4,76,9.3,0.0,0.1,966.9
2024-03-28 16:15:09,11.1,80,9.2,0.0,0.1,968.2
2024-03-28 16:15:09,11.6,76,9.4,0.0,0.1,969.2
2024-03-28 16:15:09,11.2,78,9.1,0.0,0.1,967.0
2024-03-28 16:15:09,11.9,74,10.3,0.1,0.1,966.5
2024-03-28 16:15:09,11.2,78,9.1,0.0,0.1,967.2
2024-03-28 16:15:09,11.2,80,9.3,0.0,0.1,970.5
2024-03-28 16:15:09,11.9,75,10.2,0.1,0.1,967.0
2024-03-28 16:15:09,11.1,80,9.1,0.0,0.1,967.6
2024-03-28 17:14:16,10.3,84,7.6,0.0,0.1,966.7
2024-03-28 17:14:16,10.6,83,8.2,0.0,0.1,968.4
2024-03-28 17:14:16,10.6,83,8.2,0.0,0.1,967.8
2024-03-28 17:14:16,10.4,84,8.0,0.0,0.1,968.6
2024-03-28 17:14:16,10.5,84,8.2,0.0,0.1,969.9
2024-03-28 17:14:16,10.6,83,8.2,0.0,0.1,968.2
2024-03-28 17:14:16,11.4,78,9.4,0.0,0.1,967.2
2024-03-28 17:14:16,10.6,83,8.2,0.0,0.1,968.2
2024-03-28 17:14:16,10.5,83,8.1,0.0,0.1,967.5
2024-03-28 17:14:16,10.5,83,8.1,0.0,0.1,967.3
2024-03-28 17:14:16,10.6,83,8.2,0.0,0.1,968.2
2024-03-28 17:14:16,10.3,84,7.6,0.0,0.1,967.2
2024-03-28 17:14:16,10.5,83,8.1,0.0,0.1,967.3
2024-03-28 17:14:16,10.4,84,8.0,0.0,0.1,967.8
2024-03-28 17:14:16,10.3,84,7.6,0.0,0.1,967.3
2024-03-28 17:14:16,11.4,78,9.4,0.0,0.1,966.8
2024-03-28 17:14:16,10.6,83,8.2,0.0,0.1,969.3
2024-03-28 17:14:16,10.4,84,8.0,0.0,0.1,967.4
2024-03-28 17:14:16,10.4,84,8.0,0.0,0.1,967.9
2024-03-28 17:14:16,10.5,83,8.1,0.0,0.1,967.6
2024-03-28 17:14:16,10.5,83,8.1,0.0,0.1,967.2
2024-03-28 17:14:16,10.4,84,8.0,0.0,0.1,968.5
2024-03-28 17:14:16,10.6,83,8.3,0.0,0.1,969.6
2024-03-28 17:14:16,10.3,84,7.6,0.0,0.1,967.3
2024-03-28 17:14:16,11.6,76,9.5,0.0,0.1,966.8
2024-03-28 17:14:16,10.3,84,7.6,0.0,0.1,967.6
2024-03-28 17:14:16,10.6,84,8.2,0.0,0.1,970.8
2024-03-28 17:14:16,11.4,78,9.4,0.0,0.1,967.3
2024-03-28 17:14:16,10.4,84,8.0,0.0,0.1,967.9
2024-03-28 18:17:19,9.7,90,7.8,0.4,0.2,966.9
2024-03-28 18:17:19,9.8,91,8.3,0.4,0.0,968.7
2024-03-28 18:17:19,9.8,91,8.3,0.4,0.0,968.1
2024-03-28 18:17:19,10.0,87,8.3,0.4,0.1,968.8
2024-03-28 18:17:19,10.1,87,8.4,0.4,0.1,970.1
2024-03-28 18:17:19,9.8,91,8.3,0.4,0.0,968.5
2024-03-28 18:17:19,10.8,85,9.5,0.3,0.0,967.4
2024-03-28 18:17:19,9.8,91,8.3,0.4,0.0,968.5
2024-03-28 18:17:19,9.8,91,8.3,0.4,0.0,967.8
2024-03-28 18:17:19,9.7,91,8.2,0.4,0.0,967.6
2024-03-28 18:17:19,9.8,91,8.3,0.4,0.0,968.5
2024-03-28 18:17:19,9.8,90,7.9,0.4,0.2,967.3
2024-03-28 18:17:19,9.7,91,8.2,0.4,0.0,967.6
2024-03-28 18:17:19,9.9,87,8.2,0.4,0.1,968.0
2024-03-28 18:17:19,9.8,90,7.9,0.4,0.2,967.5
2024-03-28 18:17:19,10.8,85,9.5,0.3,0.0,967.0
2024-03-28 18:17:19,9.9,91,8.4,0.4,0.0,969.6
2024-03-28 18:17:19,9.9,87,8.2,0.4,0.1,967.7
2024-03-28 18:17:19,9.9,87,8.2,0.4,0.1,968.1
2024-03-28 18:17:19,9.8,91,8.3,0.4,0.0,967.9
2024-03-28 18:17:19,9.7,91,8.2,0.4,0.0,967.5
2024-03-28 18:17:19,10.0,87,8.3,0.4,0.1,968.7
2024-03-28 18:17:19,9.9,91,8.4,0.4,0.0,969.9
2024-03-28 18:17:19,9.8,90,7.9,0.4,0.2,967.5
2024-03-28 18:17:19,12.1,75,11.0,0.4,0.0,967.1
2024-03-28 18:17:19,9.8,90,7.9,0.4,0.2,967.7
2024-03-28 18:17:19,10.1,87,8.5,0.4,0.1,971.1
2024-03-28 18:17:19,10.8,85,9.5,0.3,0.0,967.5
2024-03-28 18:17:19,9.9,87,8.2,0.4,0.1,968.1
2024-03-28 19:09:22,9.4,91,7.8,0.0,0.0,967.4
2024-03-28 19:09:22,9.7,91,8.6,0.0,0.0,969.2
2024-03-28 19:09:22,9.7,91,8.6,0.0,0.0,968.6
2024-03-28 19:09:22,10.1,87,8.4,0.0,0.0,969.2
2024-03-28 19:09:22,10.2,87,8.6,0.0,0.0,970.5
2024-03-28 19:09:22,9.7,91,8.6,0.0,0.0,968.9
2024-03-28 19:09:22,9.7,91,8.2,0.0,0.0,968.0
2024-03-28 19:09:22,9.7,91,8.6,0.0,0.0,968.9
2024-03-28 19:09:22,9.6,91,8.5,0.0,0.0,968.2
2024-03-28 19:09:22,9.6,91,8.5,0.0,0.0,968.1
2024-03-28 19:09:22,9.7,91,8.6,0.0,0.0,968.9
2024-03-28 19:09:22,9.4,91,7.8,0.0,0.0,967.9
2024-03-28 19:09:22,9.6,91,8.5,0.0,0.0,968.1
2024-03-28 19:09:22,10.1,87,8.4,0.0,0.0,968.4
2024-03-28 19:09:22,9.4,91,7.8,0.0,0.0,968.0
2024-03-28 19:09:22,9.7,91,8.2,0.0,0.0,967.7
2024-03-28 19:09:22,9.8,91,8.6,0.0,0.0,970.1
2024-03-28 19:09:22,10.1,87,8.4,0.0,0.0,968.1
